group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,1194459.0,ns,1
add_remove_component,bevy,,,,2465750.0,ns,2
add_remove_component,bevy,,,,3553167.0,ns,3
add_remove_component,bevy,,,,4885083.0,ns,4
add_remove_component,bevy,,,,5930875.0,ns,5
add_remove_component,bevy,,,,6909750.0,ns,6
add_remove_component,bevy,,,,8151625.0,ns,7
add_remove_component,bevy,,,,9369625.0,ns,8
add_remove_component,bevy,,,,10795041.0,ns,9
add_remove_component,bevy,,,,11582792.0,ns,10
add_remove_component,bevy,,,,13519958.0,ns,11
add_remove_component,bevy,,,,13400208.0,ns,12
add_remove_component,bevy,,,,14134000.0,ns,13
add_remove_component,bevy,,,,15078334.0,ns,14
add_remove_component,bevy,,,,16050125.0,ns,15
add_remove_component,bevy,,,,17030625.0,ns,16
add_remove_component,bevy,,,,17938750.0,ns,17
add_remove_component,bevy,,,,19666334.0,ns,18
add_remove_component,bevy,,,,20565458.0,ns,19
add_remove_component,bevy,,,,21712667.0,ns,20
add_remove_component,bevy,,,,22574000.0,ns,21
add_remove_component,bevy,,,,23482083.0,ns,22
add_remove_component,bevy,,,,25924167.0,ns,23
add_remove_component,bevy,,,,25640500.0,ns,24
add_remove_component,bevy,,,,26682250.0,ns,25
add_remove_component,bevy,,,,28512500.0,ns,26
add_remove_component,bevy,,,,29502959.0,ns,27
add_remove_component,bevy,,,,30416541.0,ns,28
add_remove_component,bevy,,,,31340041.0,ns,29
add_remove_component,bevy,,,,32447291.0,ns,30
add_remove_component,bevy,,,,33517291.0,ns,31
add_remove_component,bevy,,,,34671208.0,ns,32
add_remove_component,bevy,,,,35806750.0,ns,33
add_remove_component,bevy,,,,36738291.0,ns,34
add_remove_component,bevy,,,,37032250.0,ns,35
add_remove_component,bevy,,,,38904459.0,ns,36
add_remove_component,bevy,,,,39437458.0,ns,37
add_remove_component,bevy,,,,40888417.0,ns,38
add_remove_component,bevy,,,,41680666.0,ns,39
add_remove_component,bevy,,,,43075708.0,ns,40
add_remove_component,bevy,,,,43754417.0,ns,41
add_remove_component,bevy,,,,45291125.0,ns,42
add_remove_component,bevy,,,,45859333.0,ns,43
add_remove_component,bevy,,,,47340292.0,ns,44
add_remove_component,bevy,,,,50540083.0,ns,45
add_remove_component,bevy,,,,49984875.0,ns,46
add_remove_component,bevy,,,,50778583.0,ns,47
add_remove_component,bevy,,,,51593459.0,ns,48
add_remove_component,bevy,,,,52450750.0,ns,49
add_remove_component,bevy,,,,53878125.0,ns,50
add_remove_component,bevy,,,,54501625.0,ns,51
add_remove_component,bevy,,,,61637000.0,ns,52
add_remove_component,bevy,,,,93018000.0,ns,53
add_remove_component,bevy,,,,63542667.0,ns,54
add_remove_component,bevy,,,,61530084.0,ns,55
add_remove_component,bevy,,,,63683833.0,ns,56
add_remove_component,bevy,,,,70216000.0,ns,57
add_remove_component,bevy,,,,65902583.0,ns,58
add_remove_component,bevy,,,,65482709.0,ns,59
add_remove_component,bevy,,,,72833792.0,ns,60
add_remove_component,bevy,,,,66274959.0,ns,61
add_remove_component,bevy,,,,84576791.0,ns,62
add_remove_component,bevy,,,,98531792.0,ns,63
add_remove_component,bevy,,,,70724959.0,ns,64
add_remove_component,bevy,,,,72945292.0,ns,65
add_remove_component,bevy,,,,71857250.0,ns,66
add_remove_component,bevy,,,,79781000.0,ns,67
add_remove_component,bevy,,,,81109000.0,ns,68
add_remove_component,bevy,,,,81644250.0,ns,69
add_remove_component,bevy,,,,83110500.0,ns,70
add_remove_component,bevy,,,,85374375.0,ns,71
add_remove_component,bevy,,,,80590208.0,ns,72
add_remove_component,bevy,,,,80712042.0,ns,73
add_remove_component,bevy,,,,81480791.0,ns,74
add_remove_component,bevy,,,,82880875.0,ns,75
add_remove_component,bevy,,,,84320167.0,ns,76
add_remove_component,bevy,,,,85844375.0,ns,77
add_remove_component,bevy,,,,87340834.0,ns,78
add_remove_component,bevy,,,,87677291.0,ns,79
add_remove_component,bevy,,,,89922875.0,ns,80
add_remove_component,bevy,,,,90793708.0,ns,81
add_remove_component,bevy,,,,91047708.0,ns,82
add_remove_component,bevy,,,,92396334.0,ns,83
add_remove_component,bevy,,,,94633542.0,ns,84
add_remove_component,bevy,,,,94800625.0,ns,85
add_remove_component,bevy,,,,96198500.0,ns,86
add_remove_component,bevy,,,,96695583.0,ns,87
add_remove_component,bevy,,,,98965917.0,ns,88
add_remove_component,bevy,,,,99097500.0,ns,89
add_remove_component,bevy,,,,102542083.0,ns,90
add_remove_component,bevy,,,,96473792.0,ns,91
add_remove_component,bevy,,,,99137959.0,ns,92
add_remove_component,bevy,,,,99929125.0,ns,93
add_remove_component,bevy,,,,100685458.0,ns,94
add_remove_component,bevy,,,,102106875.0,ns,95
add_remove_component,bevy,,,,103425750.0,ns,96
add_remove_component,bevy,,,,103993125.0,ns,97
add_remove_component,bevy,,,,104873500.0,ns,98
add_remove_component,bevy,,,,104527958.0,ns,99
add_remove_component,bevy,,,,105695292.0,ns,100
