group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,1432375.0,ns,3
add_remove_component,hecs,,,,2950375.0,ns,6
add_remove_component,hecs,,,,4431291.0,ns,9
add_remove_component,hecs,,,,5644750.0,ns,12
add_remove_component,hecs,,,,6903666.0,ns,15
add_remove_component,hecs,,,,8359458.0,ns,18
add_remove_component,hecs,,,,10007458.0,ns,21
add_remove_component,hecs,,,,11379000.0,ns,24
add_remove_component,hecs,,,,13111042.0,ns,27
add_remove_component,hecs,,,,14575000.0,ns,30
add_remove_component,hecs,,,,15730875.0,ns,33
add_remove_component,hecs,,,,17201625.0,ns,36
add_remove_component,hecs,,,,18705000.0,ns,39
add_remove_component,hecs,,,,19819875.0,ns,42
add_remove_component,hecs,,,,21868416.0,ns,45
add_remove_component,hecs,,,,23190750.0,ns,48
add_remove_component,hecs,,,,24425291.0,ns,51
add_remove_component,hecs,,,,25931333.0,ns,54
add_remove_component,hecs,,,,26967625.0,ns,57
add_remove_component,hecs,,,,28923792.0,ns,60
add_remove_component,hecs,,,,30124833.0,ns,63
add_remove_component,hecs,,,,31729250.0,ns,66
add_remove_component,hecs,,,,32808625.0,ns,69
add_remove_component,hecs,,,,34715792.0,ns,72
add_remove_component,hecs,,,,36047500.0,ns,75
add_remove_component,hecs,,,,37542791.0,ns,78
add_remove_component,hecs,,,,39024916.0,ns,81
add_remove_component,hecs,,,,40945458.0,ns,84
add_remove_component,hecs,,,,41142791.0,ns,87
add_remove_component,hecs,,,,43316541.0,ns,90
add_remove_component,hecs,,,,44782542.0,ns,93
add_remove_component,hecs,,,,46325208.0,ns,96
add_remove_component,hecs,,,,47824500.0,ns,99
add_remove_component,hecs,,,,48868750.0,ns,102
add_remove_component,hecs,,,,49451916.0,ns,105
add_remove_component,hecs,,,,51377250.0,ns,108
add_remove_component,hecs,,,,53373000.0,ns,111
add_remove_component,hecs,,,,54345000.0,ns,114
add_remove_component,hecs,,,,56315959.0,ns,117
add_remove_component,hecs,,,,57218875.0,ns,120
add_remove_component,hecs,,,,59388500.0,ns,123
add_remove_component,hecs,,,,60194708.0,ns,126
add_remove_component,hecs,,,,61230084.0,ns,129
add_remove_component,hecs,,,,63363666.0,ns,132
add_remove_component,hecs,,,,63994792.0,ns,135
add_remove_component,hecs,,,,65806000.0,ns,138
add_remove_component,hecs,,,,67862208.0,ns,141
add_remove_component,hecs,,,,69765833.0,ns,144
add_remove_component,hecs,,,,70474250.0,ns,147
add_remove_component,hecs,,,,72544333.0,ns,150
add_remove_component,hecs,,,,72269417.0,ns,153
add_remove_component,hecs,,,,74814250.0,ns,156
add_remove_component,hecs,,,,75711208.0,ns,159
add_remove_component,hecs,,,,77047209.0,ns,162
add_remove_component,hecs,,,,79203167.0,ns,165
add_remove_component,hecs,,,,80018750.0,ns,168
add_remove_component,hecs,,,,81926375.0,ns,171
add_remove_component,hecs,,,,82407625.0,ns,174
add_remove_component,hecs,,,,84466583.0,ns,177
add_remove_component,hecs,,,,85739584.0,ns,180
add_remove_component,hecs,,,,87061250.0,ns,183
add_remove_component,hecs,,,,88319792.0,ns,186
add_remove_component,hecs,,,,91528334.0,ns,189
add_remove_component,hecs,,,,92551959.0,ns,192
add_remove_component,hecs,,,,92841541.0,ns,195
add_remove_component,hecs,,,,95423750.0,ns,198
add_remove_component,hecs,,,,98189000.0,ns,201
add_remove_component,hecs,,,,98451083.0,ns,204
add_remove_component,hecs,,,,97406917.0,ns,207
add_remove_component,hecs,,,,99836583.0,ns,210
add_remove_component,hecs,,,,103029583.0,ns,213
add_remove_component,hecs,,,,104568542.0,ns,216
add_remove_component,hecs,,,,106123000.0,ns,219
add_remove_component,hecs,,,,108711916.0,ns,222
add_remove_component,hecs,,,,110568875.0,ns,225
add_remove_component,hecs,,,,109917875.0,ns,228
add_remove_component,hecs,,,,110893500.0,ns,231
add_remove_component,hecs,,,,112234375.0,ns,234
add_remove_component,hecs,,,,112872333.0,ns,237
add_remove_component,hecs,,,,114539958.0,ns,240
add_remove_component,hecs,,,,117024333.0,ns,243
add_remove_component,hecs,,,,117798792.0,ns,246
add_remove_component,hecs,,,,119127708.0,ns,249
add_remove_component,hecs,,,,120974125.0,ns,252
add_remove_component,hecs,,,,122075708.0,ns,255
add_remove_component,hecs,,,,123714917.0,ns,258
add_remove_component,hecs,,,,124517250.0,ns,261
add_remove_component,hecs,,,,127617334.0,ns,264
add_remove_component,hecs,,,,127976833.0,ns,267
add_remove_component,hecs,,,,127658667.0,ns,270
add_remove_component,hecs,,,,130625750.0,ns,273
add_remove_component,hecs,,,,132496333.0,ns,276
add_remove_component,hecs,,,,133109625.0,ns,279
add_remove_component,hecs,,,,134324125.0,ns,282
add_remove_component,hecs,,,,137124500.0,ns,285
add_remove_component,hecs,,,,136964750.0,ns,288
add_remove_component,hecs,,,,139423584.0,ns,291
add_remove_component,hecs,,,,144072042.0,ns,294
add_remove_component,hecs,,,,142755417.0,ns,297
add_remove_component,hecs,,,,144158917.0,ns,300
