group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,1920458.0,ns,1
add_remove_component,legion,,,,3371333.0,ns,2
add_remove_component,legion,,,,4789833.0,ns,3
add_remove_component,legion,,,,6272541.0,ns,4
add_remove_component,legion,,,,7700709.0,ns,5
add_remove_component,legion,,,,9234583.0,ns,6
add_remove_component,legion,,,,10778917.0,ns,7
add_remove_component,legion,,,,12440500.0,ns,8
add_remove_component,legion,,,,13997542.0,ns,9
add_remove_component,legion,,,,15525333.0,ns,10
add_remove_component,legion,,,,17082250.0,ns,11
add_remove_component,legion,,,,18480791.0,ns,12
add_remove_component,legion,,,,20087834.0,ns,13
add_remove_component,legion,,,,21525667.0,ns,14
add_remove_component,legion,,,,22921708.0,ns,15
add_remove_component,legion,,,,24347625.0,ns,16
add_remove_component,legion,,,,26326541.0,ns,17
add_remove_component,legion,,,,27690041.0,ns,18
add_remove_component,legion,,,,29157541.0,ns,19
add_remove_component,legion,,,,30359458.0,ns,20
add_remove_component,legion,,,,32424250.0,ns,21
add_remove_component,legion,,,,33332625.0,ns,22
add_remove_component,legion,,,,34254250.0,ns,23
add_remove_component,legion,,,,35868917.0,ns,24
add_remove_component,legion,,,,37835958.0,ns,25
add_remove_component,legion,,,,39401750.0,ns,26
add_remove_component,legion,,,,41415000.0,ns,27
add_remove_component,legion,,,,42855000.0,ns,28
add_remove_component,legion,,,,44678000.0,ns,29
add_remove_component,legion,,,,46176417.0,ns,30
add_remove_component,legion,,,,47250542.0,ns,31
add_remove_component,legion,,,,48969084.0,ns,32
add_remove_component,legion,,,,50233291.0,ns,33
add_remove_component,legion,,,,51734750.0,ns,34
add_remove_component,legion,,,,53007333.0,ns,35
add_remove_component,legion,,,,54762833.0,ns,36
add_remove_component,legion,,,,56357500.0,ns,37
add_remove_component,legion,,,,57942250.0,ns,38
add_remove_component,legion,,,,58790875.0,ns,39
add_remove_component,legion,,,,61202875.0,ns,40
add_remove_component,legion,,,,62921875.0,ns,41
add_remove_component,legion,,,,63646833.0,ns,42
add_remove_component,legion,,,,65573709.0,ns,43
add_remove_component,legion,,,,66702958.0,ns,44
add_remove_component,legion,,,,68707416.0,ns,45
add_remove_component,legion,,,,69320583.0,ns,46
add_remove_component,legion,,,,71866083.0,ns,47
add_remove_component,legion,,,,72614208.0,ns,48
add_remove_component,legion,,,,74759750.0,ns,49
add_remove_component,legion,,,,75824250.0,ns,50
add_remove_component,legion,,,,77045417.0,ns,51
add_remove_component,legion,,,,78833250.0,ns,52
add_remove_component,legion,,,,80720666.0,ns,53
add_remove_component,legion,,,,81973042.0,ns,54
add_remove_component,legion,,,,83789459.0,ns,55
add_remove_component,legion,,,,85759250.0,ns,56
add_remove_component,legion,,,,86508375.0,ns,57
add_remove_component,legion,,,,88740041.0,ns,58
add_remove_component,legion,,,,90092375.0,ns,59
add_remove_component,legion,,,,92372708.0,ns,60
add_remove_component,legion,,,,93477541.0,ns,61
add_remove_component,legion,,,,94870292.0,ns,62
add_remove_component,legion,,,,95894417.0,ns,63
add_remove_component,legion,,,,97038750.0,ns,64
add_remove_component,legion,,,,99246791.0,ns,65
add_remove_component,legion,,,,101381250.0,ns,66
add_remove_component,legion,,,,102171333.0,ns,67
add_remove_component,legion,,,,103980708.0,ns,68
add_remove_component,legion,,,,105604875.0,ns,69
add_remove_component,legion,,,,107851875.0,ns,70
add_remove_component,legion,,,,107932958.0,ns,71
add_remove_component,legion,,,,110143417.0,ns,72
add_remove_component,legion,,,,110965292.0,ns,73
add_remove_component,legion,,,,113695458.0,ns,74
add_remove_component,legion,,,,129351791.0,ns,75
add_remove_component,legion,,,,152185000.0,ns,76
add_remove_component,legion,,,,119289291.0,ns,77
add_remove_component,legion,,,,119019250.0,ns,78
add_remove_component,legion,,,,119430333.0,ns,79
add_remove_component,legion,,,,122423667.0,ns,80
add_remove_component,legion,,,,124797000.0,ns,81
add_remove_component,legion,,,,125673791.0,ns,82
add_remove_component,legion,,,,129657917.0,ns,83
add_remove_component,legion,,,,129183375.0,ns,84
add_remove_component,legion,,,,130432000.0,ns,85
add_remove_component,legion,,,,132352417.0,ns,86
add_remove_component,legion,,,,136996875.0,ns,87
add_remove_component,legion,,,,137832125.0,ns,88
add_remove_component,legion,,,,138997708.0,ns,89
add_remove_component,legion,,,,141838416.0,ns,90
add_remove_component,legion,,,,142956583.0,ns,91
add_remove_component,legion,,,,143568292.0,ns,92
add_remove_component,legion,,,,145180042.0,ns,93
add_remove_component,legion,,,,145845458.0,ns,94
add_remove_component,legion,,,,144121458.0,ns,95
add_remove_component,legion,,,,144120750.0,ns,96
add_remove_component,legion,,,,147365500.0,ns,97
add_remove_component,legion,,,,148399500.0,ns,98
add_remove_component,legion,,,,148430708.0,ns,99
add_remove_component,legion,,,,148987417.0,ns,100
