group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,planck_ecs,,,,998917.0,ns,18
add_remove_component,planck_ecs,,,,2032541.0,ns,36
add_remove_component,planck_ecs,,,,3043959.0,ns,54
add_remove_component,planck_ecs,,,,4103833.0,ns,72
add_remove_component,planck_ecs,,,,5228375.0,ns,90
add_remove_component,planck_ecs,,,,5987541.0,ns,108
add_remove_component,planck_ecs,,,,7028167.0,ns,126
add_remove_component,planck_ecs,,,,8241083.0,ns,144
add_remove_component,planck_ecs,,,,9069667.0,ns,162
add_remove_component,planck_ecs,,,,10166250.0,ns,180
add_remove_component,planck_ecs,,,,11153833.0,ns,198
add_remove_component,planck_ecs,,,,12334792.0,ns,216
add_remove_component,planck_ecs,,,,13399208.0,ns,234
add_remove_component,planck_ecs,,,,14543625.0,ns,252
add_remove_component,planck_ecs,,,,15743708.0,ns,270
add_remove_component,planck_ecs,,,,16823417.0,ns,288
add_remove_component,planck_ecs,,,,17602708.0,ns,306
add_remove_component,planck_ecs,,,,18421084.0,ns,324
add_remove_component,planck_ecs,,,,19563458.0,ns,342
add_remove_component,planck_ecs,,,,20409291.0,ns,360
add_remove_component,planck_ecs,,,,21587959.0,ns,378
add_remove_component,planck_ecs,,,,22466875.0,ns,396
add_remove_component,planck_ecs,,,,23448125.0,ns,414
add_remove_component,planck_ecs,,,,24841958.0,ns,432
add_remove_component,planck_ecs,,,,25645167.0,ns,450
add_remove_component,planck_ecs,,,,26621875.0,ns,468
add_remove_component,planck_ecs,,,,27484958.0,ns,486
add_remove_component,planck_ecs,,,,28725667.0,ns,504
add_remove_component,planck_ecs,,,,29719042.0,ns,522
add_remove_component,planck_ecs,,,,30604542.0,ns,540
add_remove_component,planck_ecs,,,,31610500.0,ns,558
add_remove_component,planck_ecs,,,,32062417.0,ns,576
add_remove_component,planck_ecs,,,,33349292.0,ns,594
add_remove_component,planck_ecs,,,,34627292.0,ns,612
add_remove_component,planck_ecs,,,,35622167.0,ns,630
add_remove_component,planck_ecs,,,,36872667.0,ns,648
add_remove_component,planck_ecs,,,,37758542.0,ns,666
add_remove_component,planck_ecs,,,,38999292.0,ns,684
add_remove_component,planck_ecs,,,,41229875.0,ns,702
add_remove_component,planck_ecs,,,,41808792.0,ns,720
add_remove_component,planck_ecs,,,,42432375.0,ns,738
add_remove_component,planck_ecs,,,,43789250.0,ns,756
add_remove_component,planck_ecs,,,,44993625.0,ns,774
add_remove_component,planck_ecs,,,,45809792.0,ns,792
add_remove_component,planck_ecs,,,,46113125.0,ns,810
add_remove_component,planck_ecs,,,,47138625.0,ns,828
add_remove_component,planck_ecs,,,,49639833.0,ns,846
add_remove_component,planck_ecs,,,,50694334.0,ns,864
add_remove_component,planck_ecs,,,,51206875.0,ns,882
add_remove_component,planck_ecs,,,,51761417.0,ns,900
add_remove_component,planck_ecs,,,,52789625.0,ns,918
add_remove_component,planck_ecs,,,,53554042.0,ns,936
add_remove_component,planck_ecs,,,,55168709.0,ns,954
add_remove_component,planck_ecs,,,,57085375.0,ns,972
add_remove_component,planck_ecs,,,,57089250.0,ns,990
add_remove_component,planck_ecs,,,,59123583.0,ns,1008
add_remove_component,planck_ecs,,,,58074625.0,ns,1026
add_remove_component,planck_ecs,,,,60016667.0,ns,1044
