group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1005458.0,ns,22
add_remove_component,shipyard,,,,1943250.0,ns,44
add_remove_component,shipyard,,,,2930375.0,ns,66
add_remove_component,shipyard,,,,3893166.0,ns,88
add_remove_component,shipyard,,,,4970584.0,ns,110
add_remove_component,shipyard,,,,5873333.0,ns,132
add_remove_component,shipyard,,,,6838375.0,ns,154
add_remove_component,shipyard,,,,7911292.0,ns,176
add_remove_component,shipyard,,,,9188000.0,ns,198
add_remove_component,shipyard,,,,9928708.0,ns,220
add_remove_component,shipyard,,,,11006708.0,ns,242
add_remove_component,shipyard,,,,12028750.0,ns,264
add_remove_component,shipyard,,,,13146833.0,ns,286
add_remove_component,shipyard,,,,14043625.0,ns,308
add_remove_component,shipyard,,,,15201792.0,ns,330
add_remove_component,shipyard,,,,16008292.0,ns,352
add_remove_component,shipyard,,,,17111500.0,ns,374
add_remove_component,shipyard,,,,17743042.0,ns,396
add_remove_component,shipyard,,,,18917916.0,ns,418
add_remove_component,shipyard,,,,19814500.0,ns,440
add_remove_component,shipyard,,,,20544209.0,ns,462
add_remove_component,shipyard,,,,21846375.0,ns,484
add_remove_component,shipyard,,,,23378666.0,ns,506
add_remove_component,shipyard,,,,24284000.0,ns,528
add_remove_component,shipyard,,,,25295000.0,ns,550
add_remove_component,shipyard,,,,25960375.0,ns,572
add_remove_component,shipyard,,,,26912333.0,ns,594
add_remove_component,shipyard,,,,27811500.0,ns,616
add_remove_component,shipyard,,,,28906875.0,ns,638
add_remove_component,shipyard,,,,29609875.0,ns,660
add_remove_component,shipyard,,,,30914542.0,ns,682
add_remove_component,shipyard,,,,31744667.0,ns,704
add_remove_component,shipyard,,,,32777791.0,ns,726
add_remove_component,shipyard,,,,34124500.0,ns,748
add_remove_component,shipyard,,,,35234375.0,ns,770
add_remove_component,shipyard,,,,35654333.0,ns,792
add_remove_component,shipyard,,,,37119166.0,ns,814
add_remove_component,shipyard,,,,37615416.0,ns,836
add_remove_component,shipyard,,,,38853208.0,ns,858
add_remove_component,shipyard,,,,39463541.0,ns,880
add_remove_component,shipyard,,,,40764792.0,ns,902
add_remove_component,shipyard,,,,41291000.0,ns,924
add_remove_component,shipyard,,,,42706750.0,ns,946
add_remove_component,shipyard,,,,43520958.0,ns,968
add_remove_component,shipyard,,,,44635375.0,ns,990
add_remove_component,shipyard,,,,45155833.0,ns,1012
add_remove_component,shipyard,,,,47223417.0,ns,1034
add_remove_component,shipyard,,,,48100791.0,ns,1056
add_remove_component,shipyard,,,,48770833.0,ns,1078
add_remove_component,shipyard,,,,49873834.0,ns,1100
add_remove_component,shipyard,,,,51241500.0,ns,1122
add_remove_component,shipyard,,,,51705667.0,ns,1144
add_remove_component,shipyard,,,,52807167.0,ns,1166
add_remove_component,shipyard,,,,53641000.0,ns,1188
add_remove_component,shipyard,,,,54680625.0,ns,1210
add_remove_component,shipyard,,,,56170584.0,ns,1232
add_remove_component,shipyard,,,,57248250.0,ns,1254
add_remove_component,shipyard,,,,57502875.0,ns,1276
add_remove_component,shipyard,,,,58930458.0,ns,1298
add_remove_component,shipyard,,,,59478125.0,ns,1320
add_remove_component,shipyard,,,,60107125.0,ns,1342
add_remove_component,shipyard,,,,61179583.0,ns,1364
add_remove_component,shipyard,,,,61876500.0,ns,1386
add_remove_component,shipyard,,,,62698958.0,ns,1408
add_remove_component,shipyard,,,,64269833.0,ns,1430
add_remove_component,shipyard,,,,65026958.0,ns,1452
add_remove_component,shipyard,,,,66811250.0,ns,1474
add_remove_component,shipyard,,,,67290208.0,ns,1496
add_remove_component,shipyard,,,,69627583.0,ns,1518
add_remove_component,shipyard,,,,69483250.0,ns,1540
add_remove_component,shipyard,,,,70151667.0,ns,1562
add_remove_component,shipyard,,,,71617917.0,ns,1584
add_remove_component,shipyard,,,,71776542.0,ns,1606
add_remove_component,shipyard,,,,74031959.0,ns,1628
add_remove_component,shipyard,,,,74239167.0,ns,1650
add_remove_component,shipyard,,,,76296125.0,ns,1672
add_remove_component,shipyard,,,,76145917.0,ns,1694
add_remove_component,shipyard,,,,77176125.0,ns,1716
add_remove_component,shipyard,,,,77616125.0,ns,1738
add_remove_component,shipyard,,,,79162334.0,ns,1760
add_remove_component,shipyard,,,,80406750.0,ns,1782
add_remove_component,shipyard,,,,81650917.0,ns,1804
add_remove_component,shipyard,,,,82158292.0,ns,1826
add_remove_component,shipyard,,,,83690583.0,ns,1848
add_remove_component,shipyard,,,,83456334.0,ns,1870
add_remove_component,shipyard,,,,86738875.0,ns,1892
add_remove_component,shipyard,,,,86395209.0,ns,1914
add_remove_component,shipyard,,,,87696209.0,ns,1936
add_remove_component,shipyard,,,,87883667.0,ns,1958
add_remove_component,shipyard,,,,89855042.0,ns,1980
add_remove_component,shipyard,,,,89248750.0,ns,2002
add_remove_component,shipyard,,,,91009208.0,ns,2024
add_remove_component,shipyard,,,,92841292.0,ns,2046
add_remove_component,shipyard,,,,93856000.0,ns,2068
add_remove_component,shipyard,,,,93782416.0,ns,2090
add_remove_component,shipyard,,,,95885375.0,ns,2112
add_remove_component,shipyard,,,,95613459.0,ns,2134
add_remove_component,shipyard,,,,98129958.0,ns,2156
add_remove_component,shipyard,,,,96996375.0,ns,2178
add_remove_component,shipyard,,,,99933041.0,ns,2200
