group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,996333.0,ns,16
add_remove_component,specs,,,,2105209.0,ns,32
add_remove_component,specs,,,,3072250.0,ns,48
add_remove_component,specs,,,,4095416.0,ns,64
add_remove_component,specs,,,,4975625.0,ns,80
add_remove_component,specs,,,,6132875.0,ns,96
add_remove_component,specs,,,,7089875.0,ns,112
add_remove_component,specs,,,,8039750.0,ns,128
add_remove_component,specs,,,,8974042.0,ns,144
add_remove_component,specs,,,,10250500.0,ns,160
add_remove_component,specs,,,,11059708.0,ns,176
add_remove_component,specs,,,,12286833.0,ns,192
add_remove_component,specs,,,,13144209.0,ns,208
add_remove_component,specs,,,,14479500.0,ns,224
add_remove_component,specs,,,,15358625.0,ns,240
add_remove_component,specs,,,,16414875.0,ns,256
add_remove_component,specs,,,,17457333.0,ns,272
add_remove_component,specs,,,,18184125.0,ns,288
add_remove_component,specs,,,,19337209.0,ns,304
add_remove_component,specs,,,,20069625.0,ns,320
add_remove_component,specs,,,,21759917.0,ns,336
add_remove_component,specs,,,,22716291.0,ns,352
add_remove_component,specs,,,,23864125.0,ns,368
add_remove_component,specs,,,,24963916.0,ns,384
add_remove_component,specs,,,,26017959.0,ns,400
add_remove_component,specs,,,,26838958.0,ns,416
add_remove_component,specs,,,,27681583.0,ns,432
add_remove_component,specs,,,,29066292.0,ns,448
add_remove_component,specs,,,,30028334.0,ns,464
add_remove_component,specs,,,,30836042.0,ns,480
add_remove_component,specs,,,,31748458.0,ns,496
add_remove_component,specs,,,,33075375.0,ns,512
add_remove_component,specs,,,,34124250.0,ns,528
add_remove_component,specs,,,,34972708.0,ns,544
add_remove_component,specs,,,,35613583.0,ns,560
add_remove_component,specs,,,,37175417.0,ns,576
add_remove_component,specs,,,,37299000.0,ns,592
add_remove_component,specs,,,,39432667.0,ns,608
add_remove_component,specs,,,,40075167.0,ns,624
add_remove_component,specs,,,,41368375.0,ns,640
add_remove_component,specs,,,,42284334.0,ns,656
add_remove_component,specs,,,,43447583.0,ns,672
add_remove_component,specs,,,,44335750.0,ns,688
add_remove_component,specs,,,,44762042.0,ns,704
add_remove_component,specs,,,,46291666.0,ns,720
add_remove_component,specs,,,,47276792.0,ns,736
add_remove_component,specs,,,,48665125.0,ns,752
add_remove_component,specs,,,,49266250.0,ns,768
add_remove_component,specs,,,,50009334.0,ns,784
add_remove_component,specs,,,,50926541.0,ns,800
add_remove_component,specs,,,,51897416.0,ns,816
add_remove_component,specs,,,,52740875.0,ns,832
add_remove_component,specs,,,,53817875.0,ns,848
add_remove_component,specs,,,,54343666.0,ns,864
add_remove_component,specs,,,,55402041.0,ns,880
add_remove_component,specs,,,,56469417.0,ns,896
add_remove_component,specs,,,,57748291.0,ns,912
add_remove_component,specs,,,,60055959.0,ns,928
add_remove_component,specs,,,,60126041.0,ns,944
add_remove_component,specs,,,,60658834.0,ns,960
add_remove_component,specs,,,,61776500.0,ns,976
add_remove_component,specs,,,,62927042.0,ns,992
add_remove_component,specs,,,,63928750.0,ns,1008
add_remove_component,specs,,,,64945292.0,ns,1024
add_remove_component,specs,,,,66834250.0,ns,1040
add_remove_component,specs,,,,67811542.0,ns,1056
add_remove_component,specs,,,,68849417.0,ns,1072
add_remove_component,specs,,,,69433250.0,ns,1088
add_remove_component,specs,,,,70326125.0,ns,1104
add_remove_component,specs,,,,71274834.0,ns,1120
add_remove_component,specs,,,,72417375.0,ns,1136
add_remove_component,specs,,,,73757208.0,ns,1152
add_remove_component,specs,,,,75099458.0,ns,1168
add_remove_component,specs,,,,75368875.0,ns,1184
add_remove_component,specs,,,,76165792.0,ns,1200
add_remove_component,specs,,,,76961083.0,ns,1216
add_remove_component,specs,,,,78035084.0,ns,1232
add_remove_component,specs,,,,81728208.0,ns,1248
add_remove_component,specs,,,,114766584.0,ns,1264
add_remove_component,specs,,,,89363250.0,ns,1280
add_remove_component,specs,,,,85992666.0,ns,1296
add_remove_component,specs,,,,84751000.0,ns,1312
add_remove_component,specs,,,,85643333.0,ns,1328
add_remove_component,specs,,,,87229666.0,ns,1344
add_remove_component,specs,,,,87638875.0,ns,1360
add_remove_component,specs,,,,88331792.0,ns,1376
add_remove_component,specs,,,,87953667.0,ns,1392
add_remove_component,specs,,,,89431958.0,ns,1408
add_remove_component,specs,,,,90129917.0,ns,1424
add_remove_component,specs,,,,92205834.0,ns,1440
add_remove_component,specs,,,,93756916.0,ns,1456
add_remove_component,specs,,,,93750417.0,ns,1472
add_remove_component,specs,,,,94803709.0,ns,1488
add_remove_component,specs,,,,95851666.0,ns,1504
add_remove_component,specs,,,,96013917.0,ns,1520
add_remove_component,specs,,,,98031084.0,ns,1536
add_remove_component,specs,,,,98386750.0,ns,1552
add_remove_component,specs,,,,98992125.0,ns,1568
add_remove_component,specs,,,,100353625.0,ns,1584
add_remove_component,specs,,,,101874291.0,ns,1600
