group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,966791.0,ns,4716
fragmented_iter,hecs,,,,1955875.0,ns,9432
fragmented_iter,hecs,,,,2904458.0,ns,14148
fragmented_iter,hecs,,,,3966125.0,ns,18864
fragmented_iter,hecs,,,,4929417.0,ns,23580
fragmented_iter,hecs,,,,5846083.0,ns,28296
fragmented_iter,hecs,,,,6808125.0,ns,33012
fragmented_iter,hecs,,,,8202708.0,ns,37728
fragmented_iter,hecs,,,,9114083.0,ns,42444
fragmented_iter,hecs,,,,10094375.0,ns,47160
fragmented_iter,hecs,,,,10990875.0,ns,51876
fragmented_iter,hecs,,,,12212583.0,ns,56592
fragmented_iter,hecs,,,,13056042.0,ns,61308
fragmented_iter,hecs,,,,14111042.0,ns,66024
fragmented_iter,hecs,,,,15155917.0,ns,70740
fragmented_iter,hecs,,,,15844666.0,ns,75456
fragmented_iter,hecs,,,,17054709.0,ns,80172
fragmented_iter,hecs,,,,18024208.0,ns,84888
fragmented_iter,hecs,,,,18746084.0,ns,89604
fragmented_iter,hecs,,,,19822500.0,ns,94320
fragmented_iter,hecs,,,,20826542.0,ns,99036
fragmented_iter,hecs,,,,22222167.0,ns,103752
fragmented_iter,hecs,,,,22857333.0,ns,108468
fragmented_iter,hecs,,,,23814291.0,ns,113184
fragmented_iter,hecs,,,,24828000.0,ns,117900
fragmented_iter,hecs,,,,25787416.0,ns,122616
fragmented_iter,hecs,,,,26691209.0,ns,127332
fragmented_iter,hecs,,,,27764250.0,ns,132048
fragmented_iter,hecs,,,,28563333.0,ns,136764
fragmented_iter,hecs,,,,29629416.0,ns,141480
fragmented_iter,hecs,,,,30635125.0,ns,146196
fragmented_iter,hecs,,,,31617666.0,ns,150912
fragmented_iter,hecs,,,,32558500.0,ns,155628
fragmented_iter,hecs,,,,33608250.0,ns,160344
fragmented_iter,hecs,,,,34559250.0,ns,165060
fragmented_iter,hecs,,,,36321959.0,ns,169776
fragmented_iter,hecs,,,,37198333.0,ns,174492
fragmented_iter,hecs,,,,38078542.0,ns,179208
fragmented_iter,hecs,,,,39116959.0,ns,183924
fragmented_iter,hecs,,,,39621541.0,ns,188640
fragmented_iter,hecs,,,,40665000.0,ns,193356
fragmented_iter,hecs,,,,41679167.0,ns,198072
fragmented_iter,hecs,,,,42681125.0,ns,202788
fragmented_iter,hecs,,,,43598083.0,ns,207504
fragmented_iter,hecs,,,,44009292.0,ns,212220
fragmented_iter,hecs,,,,45434917.0,ns,216936
fragmented_iter,hecs,,,,46455167.0,ns,221652
fragmented_iter,hecs,,,,48154542.0,ns,226368
fragmented_iter,hecs,,,,48412292.0,ns,231084
fragmented_iter,hecs,,,,50164250.0,ns,235800
fragmented_iter,hecs,,,,51027959.0,ns,240516
fragmented_iter,hecs,,,,51809041.0,ns,245232
fragmented_iter,hecs,,,,52710875.0,ns,249948
fragmented_iter,hecs,,,,53551625.0,ns,254664
fragmented_iter,hecs,,,,54333292.0,ns,259380
fragmented_iter,hecs,,,,55375792.0,ns,264096
fragmented_iter,hecs,,,,56464292.0,ns,268812
fragmented_iter,hecs,,,,57237583.0,ns,273528
fragmented_iter,hecs,,,,58232083.0,ns,278244
fragmented_iter,hecs,,,,59033667.0,ns,282960
fragmented_iter,hecs,,,,60170167.0,ns,287676
fragmented_iter,hecs,,,,61031167.0,ns,292392
fragmented_iter,hecs,,,,61955875.0,ns,297108
fragmented_iter,hecs,,,,62996250.0,ns,301824
fragmented_iter,hecs,,,,64265917.0,ns,306540
fragmented_iter,hecs,,,,65760125.0,ns,311256
fragmented_iter,hecs,,,,64945375.0,ns,315972
fragmented_iter,hecs,,,,71190000.0,ns,320688
fragmented_iter,hecs,,,,71372541.0,ns,325404
fragmented_iter,hecs,,,,72046041.0,ns,330120
fragmented_iter,hecs,,,,72991333.0,ns,334836
fragmented_iter,hecs,,,,73968584.0,ns,339552
fragmented_iter,hecs,,,,74872834.0,ns,344268
fragmented_iter,hecs,,,,75712000.0,ns,348984
fragmented_iter,hecs,,,,74931250.0,ns,353700
fragmented_iter,hecs,,,,75242292.0,ns,358416
fragmented_iter,hecs,,,,76291708.0,ns,363132
fragmented_iter,hecs,,,,76578625.0,ns,367848
fragmented_iter,hecs,,,,78488792.0,ns,372564
fragmented_iter,hecs,,,,79673708.0,ns,377280
fragmented_iter,hecs,,,,80866250.0,ns,381996
fragmented_iter,hecs,,,,80899708.0,ns,386712
fragmented_iter,hecs,,,,81678208.0,ns,391428
fragmented_iter,hecs,,,,83223125.0,ns,396144
fragmented_iter,hecs,,,,84101208.0,ns,400860
fragmented_iter,hecs,,,,86481000.0,ns,405576
fragmented_iter,hecs,,,,86464542.0,ns,410292
fragmented_iter,hecs,,,,87212916.0,ns,415008
fragmented_iter,hecs,,,,88022667.0,ns,419724
fragmented_iter,hecs,,,,89002958.0,ns,424440
fragmented_iter,hecs,,,,90587667.0,ns,429156
fragmented_iter,hecs,,,,91422667.0,ns,433872
fragmented_iter,hecs,,,,93054417.0,ns,438588
fragmented_iter,hecs,,,,92936500.0,ns,443304
fragmented_iter,hecs,,,,93708041.0,ns,448020
fragmented_iter,hecs,,,,94731750.0,ns,452736
fragmented_iter,hecs,,,,95347708.0,ns,457452
fragmented_iter,hecs,,,,96573791.0,ns,462168
fragmented_iter,hecs,,,,97507500.0,ns,466884
fragmented_iter,hecs,,,,97665666.0,ns,471600
