group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,965792.0,ns,4042
fragmented_iter,legion,,,,1931959.0,ns,8084
fragmented_iter,legion,,,,2916750.0,ns,12126
fragmented_iter,legion,,,,3942042.0,ns,16168
fragmented_iter,legion,,,,4992917.0,ns,20210
fragmented_iter,legion,,,,5891333.0,ns,24252
fragmented_iter,legion,,,,6854750.0,ns,28294
fragmented_iter,legion,,,,8087458.0,ns,32336
fragmented_iter,legion,,,,9150250.0,ns,36378
fragmented_iter,legion,,,,10055250.0,ns,40420
fragmented_iter,legion,,,,11028292.0,ns,44462
fragmented_iter,legion,,,,12120709.0,ns,48504
fragmented_iter,legion,,,,13090042.0,ns,52546
fragmented_iter,legion,,,,14039083.0,ns,56588
fragmented_iter,legion,,,,15027625.0,ns,60630
fragmented_iter,legion,,,,16056958.0,ns,64672
fragmented_iter,legion,,,,16901584.0,ns,68714
fragmented_iter,legion,,,,17932750.0,ns,72756
fragmented_iter,legion,,,,18869334.0,ns,76798
fragmented_iter,legion,,,,19880000.0,ns,80840
fragmented_iter,legion,,,,20765833.0,ns,84882
fragmented_iter,legion,,,,21271833.0,ns,88924
fragmented_iter,legion,,,,22178250.0,ns,92966
fragmented_iter,legion,,,,23271167.0,ns,97008
fragmented_iter,legion,,,,24178625.0,ns,101050
fragmented_iter,legion,,,,25181542.0,ns,105092
fragmented_iter,legion,,,,26095500.0,ns,109134
fragmented_iter,legion,,,,27379333.0,ns,113176
fragmented_iter,legion,,,,28516292.0,ns,117218
fragmented_iter,legion,,,,29082500.0,ns,121260
fragmented_iter,legion,,,,30044625.0,ns,125302
fragmented_iter,legion,,,,30971500.0,ns,129344
fragmented_iter,legion,,,,31997041.0,ns,133386
fragmented_iter,legion,,,,32835500.0,ns,137428
fragmented_iter,legion,,,,33799417.0,ns,141470
fragmented_iter,legion,,,,35778708.0,ns,145512
fragmented_iter,legion,,,,36769375.0,ns,149554
fragmented_iter,legion,,,,37971834.0,ns,153596
fragmented_iter,legion,,,,38685208.0,ns,157638
fragmented_iter,legion,,,,40237958.0,ns,161680
fragmented_iter,legion,,,,40911292.0,ns,165722
fragmented_iter,legion,,,,41934500.0,ns,169764
fragmented_iter,legion,,,,42860792.0,ns,173806
fragmented_iter,legion,,,,43617000.0,ns,177848
fragmented_iter,legion,,,,44845959.0,ns,181890
fragmented_iter,legion,,,,45867500.0,ns,185932
fragmented_iter,legion,,,,46484583.0,ns,189974
fragmented_iter,legion,,,,47693875.0,ns,194016
fragmented_iter,legion,,,,48716583.0,ns,198058
fragmented_iter,legion,,,,49556541.0,ns,202100
fragmented_iter,legion,,,,50444625.0,ns,206142
fragmented_iter,legion,,,,51356250.0,ns,210184
fragmented_iter,legion,,,,52510166.0,ns,214226
fragmented_iter,legion,,,,53413833.0,ns,218268
fragmented_iter,legion,,,,54053708.0,ns,222310
fragmented_iter,legion,,,,55421500.0,ns,226352
fragmented_iter,legion,,,,56342000.0,ns,230394
fragmented_iter,legion,,,,57913958.0,ns,234436
fragmented_iter,legion,,,,58879042.0,ns,238478
fragmented_iter,legion,,,,60045208.0,ns,242520
fragmented_iter,legion,,,,60966625.0,ns,246562
fragmented_iter,legion,,,,61786708.0,ns,250604
fragmented_iter,legion,,,,62477375.0,ns,254646
fragmented_iter,legion,,,,63358542.0,ns,258688
fragmented_iter,legion,,,,64371208.0,ns,262730
fragmented_iter,legion,,,,65250792.0,ns,266772
fragmented_iter,legion,,,,66207416.0,ns,270814
fragmented_iter,legion,,,,67174875.0,ns,274856
fragmented_iter,legion,,,,67281917.0,ns,278898
fragmented_iter,legion,,,,69703250.0,ns,282940
fragmented_iter,legion,,,,70351125.0,ns,286982
fragmented_iter,legion,,,,71532291.0,ns,291024
fragmented_iter,legion,,,,72343333.0,ns,295066
fragmented_iter,legion,,,,74070875.0,ns,299108
fragmented_iter,legion,,,,75384042.0,ns,303150
fragmented_iter,legion,,,,75679875.0,ns,307192
fragmented_iter,legion,,,,76349083.0,ns,311234
fragmented_iter,legion,,,,77153250.0,ns,315276
fragmented_iter,legion,,,,77794875.0,ns,319318
fragmented_iter,legion,,,,79551458.0,ns,323360
fragmented_iter,legion,,,,81230250.0,ns,327402
fragmented_iter,legion,,,,81551125.0,ns,331444
fragmented_iter,legion,,,,82383166.0,ns,335486
fragmented_iter,legion,,,,83530375.0,ns,339528
fragmented_iter,legion,,,,84217917.0,ns,343570
fragmented_iter,legion,,,,85767584.0,ns,347612
fragmented_iter,legion,,,,86420625.0,ns,351654
fragmented_iter,legion,,,,87550250.0,ns,355696
fragmented_iter,legion,,,,88043375.0,ns,359738
fragmented_iter,legion,,,,89278708.0,ns,363780
fragmented_iter,legion,,,,90345583.0,ns,367822
fragmented_iter,legion,,,,90816208.0,ns,371864
fragmented_iter,legion,,,,91923083.0,ns,375906
fragmented_iter,legion,,,,92778041.0,ns,379948
fragmented_iter,legion,,,,93920375.0,ns,383990
fragmented_iter,legion,,,,94580791.0,ns,388032
fragmented_iter,legion,,,,96796250.0,ns,392074
fragmented_iter,legion,,,,97869167.0,ns,396116
fragmented_iter,legion,,,,97908000.0,ns,400158
fragmented_iter,legion,,,,99001500.0,ns,404200
