group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,965083.0,ns,4475
fragmented_iter,planck_ecs,,,,1929875.0,ns,8950
fragmented_iter,planck_ecs,,,,2896667.0,ns,13425
fragmented_iter,planck_ecs,,,,4002875.0,ns,17900
fragmented_iter,planck_ecs,,,,4956250.0,ns,22375
fragmented_iter,planck_ecs,,,,5845125.0,ns,26850
fragmented_iter,planck_ecs,,,,7007791.0,ns,31325
fragmented_iter,planck_ecs,,,,8034000.0,ns,35800
fragmented_iter,planck_ecs,,,,9094708.0,ns,40275
fragmented_iter,planck_ecs,,,,10107250.0,ns,44750
fragmented_iter,planck_ecs,,,,11126375.0,ns,49225
fragmented_iter,planck_ecs,,,,11857625.0,ns,53700
fragmented_iter,planck_ecs,,,,12564542.0,ns,58175
fragmented_iter,planck_ecs,,,,13535000.0,ns,62650
fragmented_iter,planck_ecs,,,,15004500.0,ns,67125
fragmented_iter,planck_ecs,,,,16088417.0,ns,71600
fragmented_iter,planck_ecs,,,,16638041.0,ns,76075
fragmented_iter,planck_ecs,,,,18050667.0,ns,80550
fragmented_iter,planck_ecs,,,,19000625.0,ns,85025
fragmented_iter,planck_ecs,,,,20052250.0,ns,89500
fragmented_iter,planck_ecs,,,,21035000.0,ns,93975
fragmented_iter,planck_ecs,,,,21954375.0,ns,98450
fragmented_iter,planck_ecs,,,,22875875.0,ns,102925
fragmented_iter,planck_ecs,,,,23965750.0,ns,107400
fragmented_iter,planck_ecs,,,,24981375.0,ns,111875
fragmented_iter,planck_ecs,,,,25953500.0,ns,116350
fragmented_iter,planck_ecs,,,,26847583.0,ns,120825
fragmented_iter,planck_ecs,,,,27831917.0,ns,125300
fragmented_iter,planck_ecs,,,,28824041.0,ns,129775
fragmented_iter,planck_ecs,,,,29700208.0,ns,134250
fragmented_iter,planck_ecs,,,,30745542.0,ns,138725
fragmented_iter,planck_ecs,,,,31667834.0,ns,143200
fragmented_iter,planck_ecs,,,,32730125.0,ns,147675
fragmented_iter,planck_ecs,,,,33831042.0,ns,152150
fragmented_iter,planck_ecs,,,,35295041.0,ns,156625
fragmented_iter,planck_ecs,,,,35888625.0,ns,161100
fragmented_iter,planck_ecs,,,,36827375.0,ns,165575
fragmented_iter,planck_ecs,,,,37639416.0,ns,170050
fragmented_iter,planck_ecs,,,,38598000.0,ns,174525
fragmented_iter,planck_ecs,,,,39531750.0,ns,179000
fragmented_iter,planck_ecs,,,,40531208.0,ns,183475
fragmented_iter,planck_ecs,,,,41410292.0,ns,187950
fragmented_iter,planck_ecs,,,,42481250.0,ns,192425
fragmented_iter,planck_ecs,,,,43491792.0,ns,196900
fragmented_iter,planck_ecs,,,,44344084.0,ns,201375
fragmented_iter,planck_ecs,,,,45382959.0,ns,205850
fragmented_iter,planck_ecs,,,,47036000.0,ns,210325
fragmented_iter,planck_ecs,,,,47460250.0,ns,214800
fragmented_iter,planck_ecs,,,,49289208.0,ns,219275
fragmented_iter,planck_ecs,,,,50158959.0,ns,223750
fragmented_iter,planck_ecs,,,,50737584.0,ns,228225
fragmented_iter,planck_ecs,,,,51559708.0,ns,232700
fragmented_iter,planck_ecs,,,,52464833.0,ns,237175
fragmented_iter,planck_ecs,,,,53674542.0,ns,241650
fragmented_iter,planck_ecs,,,,54912750.0,ns,246125
fragmented_iter,planck_ecs,,,,55626875.0,ns,250600
fragmented_iter,planck_ecs,,,,56565542.0,ns,255075
fragmented_iter,planck_ecs,,,,57725750.0,ns,259550
fragmented_iter,planck_ecs,,,,58459458.0,ns,264025
fragmented_iter,planck_ecs,,,,59411583.0,ns,268500
fragmented_iter,planck_ecs,,,,60479958.0,ns,272975
fragmented_iter,planck_ecs,,,,61428583.0,ns,277450
fragmented_iter,planck_ecs,,,,61673167.0,ns,281925
fragmented_iter,planck_ecs,,,,63710709.0,ns,286400
fragmented_iter,planck_ecs,,,,65096625.0,ns,290875
fragmented_iter,planck_ecs,,,,65565875.0,ns,295350
fragmented_iter,planck_ecs,,,,66875416.0,ns,299825
fragmented_iter,planck_ecs,,,,67639959.0,ns,304300
fragmented_iter,planck_ecs,,,,68192958.0,ns,308775
fragmented_iter,planck_ecs,,,,69300500.0,ns,313250
fragmented_iter,planck_ecs,,,,70605459.0,ns,317725
fragmented_iter,planck_ecs,,,,71161083.0,ns,322200
fragmented_iter,planck_ecs,,,,72124041.0,ns,326675
fragmented_iter,planck_ecs,,,,73187958.0,ns,331150
fragmented_iter,planck_ecs,,,,74094125.0,ns,335625
fragmented_iter,planck_ecs,,,,75160583.0,ns,340100
fragmented_iter,planck_ecs,,,,75951541.0,ns,344575
fragmented_iter,planck_ecs,,,,76982167.0,ns,349050
fragmented_iter,planck_ecs,,,,78536916.0,ns,353525
fragmented_iter,planck_ecs,,,,80190083.0,ns,358000
fragmented_iter,planck_ecs,,,,80857125.0,ns,362475
fragmented_iter,planck_ecs,,,,81588541.0,ns,366950
fragmented_iter,planck_ecs,,,,82261000.0,ns,371425
fragmented_iter,planck_ecs,,,,83403125.0,ns,375900
fragmented_iter,planck_ecs,,,,85047458.0,ns,380375
fragmented_iter,planck_ecs,,,,85783500.0,ns,384850
fragmented_iter,planck_ecs,,,,86190833.0,ns,389325
fragmented_iter,planck_ecs,,,,87007333.0,ns,393800
fragmented_iter,planck_ecs,,,,87411750.0,ns,398275
fragmented_iter,planck_ecs,,,,88646417.0,ns,402750
fragmented_iter,planck_ecs,,,,89471833.0,ns,407225
fragmented_iter,planck_ecs,,,,91705625.0,ns,411700
fragmented_iter,planck_ecs,,,,93170958.0,ns,416175
fragmented_iter,planck_ecs,,,,93459333.0,ns,420650
fragmented_iter,planck_ecs,,,,94752541.0,ns,425125
fragmented_iter,planck_ecs,,,,95979875.0,ns,429600
fragmented_iter,planck_ecs,,,,96517709.0,ns,434075
fragmented_iter,planck_ecs,,,,97014834.0,ns,438550
fragmented_iter,planck_ecs,,,,98514542.0,ns,443025
fragmented_iter,planck_ecs,,,,98696000.0,ns,447500
