group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,964334.0,ns,735
fragmented_iter,specs,,,,1932166.0,ns,1470
fragmented_iter,specs,,,,2918875.0,ns,2205
fragmented_iter,specs,,,,3868542.0,ns,2940
fragmented_iter,specs,,,,4827583.0,ns,3675
fragmented_iter,specs,,,,5793166.0,ns,4410
fragmented_iter,specs,,,,6804708.0,ns,5145
fragmented_iter,specs,,,,7932500.0,ns,5880
fragmented_iter,specs,,,,9103500.0,ns,6615
fragmented_iter,specs,,,,9770917.0,ns,7350
fragmented_iter,specs,,,,11113208.0,ns,8085
fragmented_iter,specs,,,,12141750.0,ns,8820
fragmented_iter,specs,,,,13084084.0,ns,9555
fragmented_iter,specs,,,,14000459.0,ns,10290
fragmented_iter,specs,,,,14901667.0,ns,11025
fragmented_iter,specs,,,,16851500.0,ns,11760
fragmented_iter,specs,,,,17391334.0,ns,12495
fragmented_iter,specs,,,,17855791.0,ns,13230
fragmented_iter,specs,,,,18605292.0,ns,13965
fragmented_iter,specs,,,,19799833.0,ns,14700
fragmented_iter,specs,,,,21157333.0,ns,15435
fragmented_iter,specs,,,,21866583.0,ns,16170
fragmented_iter,specs,,,,22969500.0,ns,16905
fragmented_iter,specs,,,,23896167.0,ns,17640
fragmented_iter,specs,,,,24766083.0,ns,18375
fragmented_iter,specs,,,,25756625.0,ns,19110
fragmented_iter,specs,,,,26651209.0,ns,19845
fragmented_iter,specs,,,,27944083.0,ns,20580
fragmented_iter,specs,,,,28895667.0,ns,21315
fragmented_iter,specs,,,,29818042.0,ns,22050
fragmented_iter,specs,,,,30654208.0,ns,22785
fragmented_iter,specs,,,,31668958.0,ns,23520
fragmented_iter,specs,,,,33166583.0,ns,24255
fragmented_iter,specs,,,,33747417.0,ns,24990
fragmented_iter,specs,,,,34731375.0,ns,25725
fragmented_iter,specs,,,,36253458.0,ns,26460
fragmented_iter,specs,,,,36974541.0,ns,27195
fragmented_iter,specs,,,,37711792.0,ns,27930
fragmented_iter,specs,,,,38537500.0,ns,28665
fragmented_iter,specs,,,,39494791.0,ns,29400
fragmented_iter,specs,,,,40511083.0,ns,30135
fragmented_iter,specs,,,,41388375.0,ns,30870
fragmented_iter,specs,,,,42533833.0,ns,31605
fragmented_iter,specs,,,,43435208.0,ns,32340
fragmented_iter,specs,,,,44381375.0,ns,33075
fragmented_iter,specs,,,,45360459.0,ns,33810
fragmented_iter,specs,,,,46278167.0,ns,34545
fragmented_iter,specs,,,,47261792.0,ns,35280
fragmented_iter,specs,,,,48402792.0,ns,36015
fragmented_iter,specs,,,,50199500.0,ns,36750
fragmented_iter,specs,,,,50986375.0,ns,37485
fragmented_iter,specs,,,,51950209.0,ns,38220
fragmented_iter,specs,,,,52679958.0,ns,38955
fragmented_iter,specs,,,,53654667.0,ns,39690
fragmented_iter,specs,,,,54376583.0,ns,40425
fragmented_iter,specs,,,,55543791.0,ns,41160
fragmented_iter,specs,,,,56882542.0,ns,41895
fragmented_iter,specs,,,,57898084.0,ns,42630
fragmented_iter,specs,,,,58435000.0,ns,43365
fragmented_iter,specs,,,,59156083.0,ns,44100
fragmented_iter,specs,,,,60329291.0,ns,44835
fragmented_iter,specs,,,,61249041.0,ns,45570
fragmented_iter,specs,,,,61957750.0,ns,46305
fragmented_iter,specs,,,,62706166.0,ns,47040
fragmented_iter,specs,,,,64309667.0,ns,47775
fragmented_iter,specs,,,,65725625.0,ns,48510
fragmented_iter,specs,,,,67512250.0,ns,49245
fragmented_iter,specs,,,,67382125.0,ns,49980
fragmented_iter,specs,,,,68686792.0,ns,50715
fragmented_iter,specs,,,,69406708.0,ns,51450
fragmented_iter,specs,,,,70177042.0,ns,52185
fragmented_iter,specs,,,,71088875.0,ns,52920
fragmented_iter,specs,,,,73231000.0,ns,53655
fragmented_iter,specs,,,,73673041.0,ns,54390
fragmented_iter,specs,,,,74164375.0,ns,55125
fragmented_iter,specs,,,,75047875.0,ns,55860
fragmented_iter,specs,,,,75971459.0,ns,56595
fragmented_iter,specs,,,,77022666.0,ns,57330
fragmented_iter,specs,,,,77873834.0,ns,58065
fragmented_iter,specs,,,,78688291.0,ns,58800
fragmented_iter,specs,,,,80911750.0,ns,59535
fragmented_iter,specs,,,,81000042.0,ns,60270
fragmented_iter,specs,,,,82042375.0,ns,61005
fragmented_iter,specs,,,,82886709.0,ns,61740
fragmented_iter,specs,,,,84388208.0,ns,62475
fragmented_iter,specs,,,,86827667.0,ns,63210
fragmented_iter,specs,,,,86766375.0,ns,63945
fragmented_iter,specs,,,,87456250.0,ns,64680
fragmented_iter,specs,,,,88489583.0,ns,65415
fragmented_iter,specs,,,,88588959.0,ns,66150
fragmented_iter,specs,,,,90970333.0,ns,66885
fragmented_iter,specs,,,,91983792.0,ns,67620
fragmented_iter,specs,,,,92819000.0,ns,68355
fragmented_iter,specs,,,,93161000.0,ns,69090
fragmented_iter,specs,,,,94166625.0,ns,69825
fragmented_iter,specs,,,,94254083.0,ns,70560
fragmented_iter,specs,,,,94145250.0,ns,71295
fragmented_iter,specs,,,,96556542.0,ns,72030
fragmented_iter,specs,,,,98406000.0,ns,72765
fragmented_iter,specs,,,,99220208.0,ns,73500
