group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1278333.0,ns,2
heavy_compute,bevy,,,,2859250.0,ns,4
heavy_compute,bevy,,,,4100791.0,ns,6
heavy_compute,bevy,,,,5945209.0,ns,8
heavy_compute,bevy,,,,6774584.0,ns,10
heavy_compute,bevy,,,,7942042.0,ns,12
heavy_compute,bevy,,,,9667959.0,ns,14
heavy_compute,bevy,,,,11197875.0,ns,16
heavy_compute,bevy,,,,12782875.0,ns,18
heavy_compute,bevy,,,,13150333.0,ns,20
heavy_compute,bevy,,,,15234834.0,ns,22
heavy_compute,bevy,,,,17584625.0,ns,24
heavy_compute,bevy,,,,17724375.0,ns,26
heavy_compute,bevy,,,,18777417.0,ns,28
heavy_compute,bevy,,,,19927834.0,ns,30
heavy_compute,bevy,,,,21292583.0,ns,32
heavy_compute,bevy,,,,23699292.0,ns,34
heavy_compute,bevy,,,,26099333.0,ns,36
heavy_compute,bevy,,,,25907208.0,ns,38
heavy_compute,bevy,,,,26418084.0,ns,40
heavy_compute,bevy,,,,28301209.0,ns,42
heavy_compute,bevy,,,,30319292.0,ns,44
heavy_compute,bevy,,,,32333875.0,ns,46
heavy_compute,bevy,,,,32433208.0,ns,48
heavy_compute,bevy,,,,34227459.0,ns,50
heavy_compute,bevy,,,,37248291.0,ns,52
heavy_compute,bevy,,,,36367291.0,ns,54
heavy_compute,bevy,,,,38274500.0,ns,56
heavy_compute,bevy,,,,40134708.0,ns,58
heavy_compute,bevy,,,,40886583.0,ns,60
heavy_compute,bevy,,,,42248666.0,ns,62
heavy_compute,bevy,,,,43430417.0,ns,64
heavy_compute,bevy,,,,47036334.0,ns,66
heavy_compute,bevy,,,,46445000.0,ns,68
heavy_compute,bevy,,,,46597916.0,ns,70
heavy_compute,bevy,,,,49328291.0,ns,72
heavy_compute,bevy,,,,52451750.0,ns,74
heavy_compute,bevy,,,,51917542.0,ns,76
heavy_compute,bevy,,,,55049875.0,ns,78
heavy_compute,bevy,,,,54624833.0,ns,80
heavy_compute,bevy,,,,56137459.0,ns,82
heavy_compute,bevy,,,,57544875.0,ns,84
heavy_compute,bevy,,,,61120750.0,ns,86
heavy_compute,bevy,,,,59316542.0,ns,88
heavy_compute,bevy,,,,61526959.0,ns,90
heavy_compute,bevy,,,,64296792.0,ns,92
heavy_compute,bevy,,,,64615958.0,ns,94
heavy_compute,bevy,,,,65872708.0,ns,96
heavy_compute,bevy,,,,67353541.0,ns,98
heavy_compute,bevy,,,,68564292.0,ns,100
heavy_compute,bevy,,,,70955833.0,ns,102
heavy_compute,bevy,,,,71500458.0,ns,104
heavy_compute,bevy,,,,74367500.0,ns,106
heavy_compute,bevy,,,,74344875.0,ns,108
heavy_compute,bevy,,,,74880167.0,ns,110
heavy_compute,bevy,,,,84820084.0,ns,112
heavy_compute,bevy,,,,82223375.0,ns,114
heavy_compute,bevy,,,,82979875.0,ns,116
heavy_compute,bevy,,,,81317500.0,ns,118
heavy_compute,bevy,,,,82724875.0,ns,120
heavy_compute,bevy,,,,86846583.0,ns,122
heavy_compute,bevy,,,,85860542.0,ns,124
heavy_compute,bevy,,,,83987167.0,ns,126
heavy_compute,bevy,,,,98000375.0,ns,128
heavy_compute,bevy,,,,89535125.0,ns,130
heavy_compute,bevy,,,,91891625.0,ns,132
heavy_compute,bevy,,,,93100917.0,ns,134
heavy_compute,bevy,,,,95243583.0,ns,136
heavy_compute,bevy,,,,99502167.0,ns,138
heavy_compute,bevy,,,,96684584.0,ns,140
heavy_compute,bevy,,,,98003541.0,ns,142
heavy_compute,bevy,,,,100186375.0,ns,144
heavy_compute,bevy,,,,101110709.0,ns,146
heavy_compute,bevy,,,,104400667.0,ns,148
heavy_compute,bevy,,,,103178959.0,ns,150
heavy_compute,bevy,,,,106724375.0,ns,152
heavy_compute,bevy,,,,104193541.0,ns,154
heavy_compute,bevy,,,,110884667.0,ns,156
heavy_compute,bevy,,,,108950167.0,ns,158
heavy_compute,bevy,,,,111729167.0,ns,160
heavy_compute,bevy,,,,112850833.0,ns,162
heavy_compute,bevy,,,,113154958.0,ns,164
heavy_compute,bevy,,,,116960875.0,ns,166
heavy_compute,bevy,,,,114612625.0,ns,168
heavy_compute,bevy,,,,116760125.0,ns,170
heavy_compute,bevy,,,,118783958.0,ns,172
heavy_compute,bevy,,,,117588125.0,ns,174
heavy_compute,bevy,,,,119552666.0,ns,176
heavy_compute,bevy,,,,126405292.0,ns,178
heavy_compute,bevy,,,,124459041.0,ns,180
heavy_compute,bevy,,,,130586250.0,ns,182
heavy_compute,bevy,,,,125437541.0,ns,184
heavy_compute,bevy,,,,127542208.0,ns,186
heavy_compute,bevy,,,,126553958.0,ns,188
heavy_compute,bevy,,,,130917167.0,ns,190
heavy_compute,bevy,,,,131402708.0,ns,192
heavy_compute,bevy,,,,132851000.0,ns,194
heavy_compute,bevy,,,,133762125.0,ns,196
heavy_compute,bevy,,,,134759709.0,ns,198
heavy_compute,bevy,,,,135663750.0,ns,200
