group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1199667.0,ns,3
heavy_compute,hecs,,,,2421375.0,ns,6
heavy_compute,hecs,,,,3976541.0,ns,9
heavy_compute,hecs,,,,5124875.0,ns,12
heavy_compute,hecs,,,,6239209.0,ns,15
heavy_compute,hecs,,,,7494000.0,ns,18
heavy_compute,hecs,,,,8802083.0,ns,21
heavy_compute,hecs,,,,9913083.0,ns,24
heavy_compute,hecs,,,,11915000.0,ns,27
heavy_compute,hecs,,,,12999083.0,ns,30
heavy_compute,hecs,,,,14121750.0,ns,33
heavy_compute,hecs,,,,15190208.0,ns,36
heavy_compute,hecs,,,,16190333.0,ns,39
heavy_compute,hecs,,,,17867875.0,ns,42
heavy_compute,hecs,,,,18998166.0,ns,45
heavy_compute,hecs,,,,20729291.0,ns,48
heavy_compute,hecs,,,,21174000.0,ns,51
heavy_compute,hecs,,,,22639084.0,ns,54
heavy_compute,hecs,,,,24066375.0,ns,57
heavy_compute,hecs,,,,24996166.0,ns,60
heavy_compute,hecs,,,,27443667.0,ns,63
heavy_compute,hecs,,,,27905167.0,ns,66
heavy_compute,hecs,,,,29204208.0,ns,69
heavy_compute,hecs,,,,30598916.0,ns,72
heavy_compute,hecs,,,,32132209.0,ns,75
heavy_compute,hecs,,,,34308708.0,ns,78
heavy_compute,hecs,,,,35410625.0,ns,81
heavy_compute,hecs,,,,34937417.0,ns,84
heavy_compute,hecs,,,,37205584.0,ns,87
heavy_compute,hecs,,,,39007958.0,ns,90
heavy_compute,hecs,,,,39934916.0,ns,93
heavy_compute,hecs,,,,40206083.0,ns,96
heavy_compute,hecs,,,,42257125.0,ns,99
heavy_compute,hecs,,,,43159833.0,ns,102
heavy_compute,hecs,,,,44784417.0,ns,105
heavy_compute,hecs,,,,45992541.0,ns,108
heavy_compute,hecs,,,,47065042.0,ns,111
heavy_compute,hecs,,,,48473667.0,ns,114
heavy_compute,hecs,,,,49689916.0,ns,117
heavy_compute,hecs,,,,51062333.0,ns,120
heavy_compute,hecs,,,,52499292.0,ns,123
heavy_compute,hecs,,,,55153167.0,ns,126
heavy_compute,hecs,,,,55695958.0,ns,129
heavy_compute,hecs,,,,55989417.0,ns,132
heavy_compute,hecs,,,,57580375.0,ns,135
heavy_compute,hecs,,,,58045833.0,ns,138
heavy_compute,hecs,,,,60172167.0,ns,141
heavy_compute,hecs,,,,61626875.0,ns,144
heavy_compute,hecs,,,,62048959.0,ns,147
heavy_compute,hecs,,,,63436250.0,ns,150
heavy_compute,hecs,,,,64889834.0,ns,153
heavy_compute,hecs,,,,64378459.0,ns,156
heavy_compute,hecs,,,,67875375.0,ns,159
heavy_compute,hecs,,,,67916000.0,ns,162
heavy_compute,hecs,,,,69531000.0,ns,165
heavy_compute,hecs,,,,71252292.0,ns,168
heavy_compute,hecs,,,,73101250.0,ns,171
heavy_compute,hecs,,,,73961417.0,ns,174
heavy_compute,hecs,,,,75574875.0,ns,177
heavy_compute,hecs,,,,75621459.0,ns,180
heavy_compute,hecs,,,,80307833.0,ns,183
heavy_compute,hecs,,,,78000875.0,ns,186
heavy_compute,hecs,,,,80077833.0,ns,189
heavy_compute,hecs,,,,82349125.0,ns,192
heavy_compute,hecs,,,,83357125.0,ns,195
heavy_compute,hecs,,,,84493917.0,ns,198
heavy_compute,hecs,,,,85191334.0,ns,201
heavy_compute,hecs,,,,86590333.0,ns,204
heavy_compute,hecs,,,,87602959.0,ns,207
heavy_compute,hecs,,,,89543833.0,ns,210
heavy_compute,hecs,,,,90123250.0,ns,213
heavy_compute,hecs,,,,91437375.0,ns,216
heavy_compute,hecs,,,,91926167.0,ns,219
heavy_compute,hecs,,,,93580084.0,ns,222
heavy_compute,hecs,,,,95498458.0,ns,225
heavy_compute,hecs,,,,97516125.0,ns,228
heavy_compute,hecs,,,,98644417.0,ns,231
heavy_compute,hecs,,,,99523542.0,ns,234
heavy_compute,hecs,,,,101453000.0,ns,237
heavy_compute,hecs,,,,102050417.0,ns,240
heavy_compute,hecs,,,,103996458.0,ns,243
heavy_compute,hecs,,,,103375791.0,ns,246
heavy_compute,hecs,,,,107991167.0,ns,249
heavy_compute,hecs,,,,106925333.0,ns,252
heavy_compute,hecs,,,,109071375.0,ns,255
heavy_compute,hecs,,,,109914875.0,ns,258
heavy_compute,hecs,,,,111213834.0,ns,261
heavy_compute,hecs,,,,112945167.0,ns,264
heavy_compute,hecs,,,,113712000.0,ns,267
heavy_compute,hecs,,,,114376625.0,ns,270
heavy_compute,hecs,,,,115561042.0,ns,273
heavy_compute,hecs,,,,118901375.0,ns,276
heavy_compute,hecs,,,,118203209.0,ns,279
heavy_compute,hecs,,,,117548459.0,ns,282
heavy_compute,hecs,,,,121627708.0,ns,285
heavy_compute,hecs,,,,121884666.0,ns,288
heavy_compute,hecs,,,,124525459.0,ns,291
heavy_compute,hecs,,,,126068958.0,ns,294
heavy_compute,hecs,,,,125277208.0,ns,297
heavy_compute,hecs,,,,129698667.0,ns,300
