group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1008625.0,ns,3
heavy_compute,legion (packed),,,,2061500.0,ns,6
heavy_compute,legion (packed),,,,3214250.0,ns,9
heavy_compute,legion (packed),,,,4152417.0,ns,12
heavy_compute,legion (packed),,,,5237500.0,ns,15
heavy_compute,legion (packed),,,,6138459.0,ns,18
heavy_compute,legion (packed),,,,7340625.0,ns,21
heavy_compute,legion (packed),,,,8990209.0,ns,24
heavy_compute,legion (packed),,,,9753375.0,ns,27
heavy_compute,legion (packed),,,,10492375.0,ns,30
heavy_compute,legion (packed),,,,11524042.0,ns,33
heavy_compute,legion (packed),,,,12905459.0,ns,36
heavy_compute,legion (packed),,,,13891333.0,ns,39
heavy_compute,legion (packed),,,,15104125.0,ns,42
heavy_compute,legion (packed),,,,16029292.0,ns,45
heavy_compute,legion (packed),,,,16845875.0,ns,48
heavy_compute,legion (packed),,,,19533209.0,ns,51
heavy_compute,legion (packed),,,,19209417.0,ns,54
heavy_compute,legion (packed),,,,19818666.0,ns,57
heavy_compute,legion (packed),,,,21257583.0,ns,60
heavy_compute,legion (packed),,,,22263708.0,ns,63
heavy_compute,legion (packed),,,,23727250.0,ns,66
heavy_compute,legion (packed),,,,24092000.0,ns,69
heavy_compute,legion (packed),,,,24704625.0,ns,72
heavy_compute,legion (packed),,,,27000750.0,ns,75
heavy_compute,legion (packed),,,,27382959.0,ns,78
heavy_compute,legion (packed),,,,27919584.0,ns,81
heavy_compute,legion (packed),,,,29473166.0,ns,84
heavy_compute,legion (packed),,,,30698334.0,ns,87
heavy_compute,legion (packed),,,,31281375.0,ns,90
heavy_compute,legion (packed),,,,32059666.0,ns,93
heavy_compute,legion (packed),,,,35082875.0,ns,96
heavy_compute,legion (packed),,,,36649750.0,ns,99
heavy_compute,legion (packed),,,,35940292.0,ns,102
heavy_compute,legion (packed),,,,36982291.0,ns,105
heavy_compute,legion (packed),,,,37720250.0,ns,108
heavy_compute,legion (packed),,,,38664208.0,ns,111
heavy_compute,legion (packed),,,,39820250.0,ns,114
heavy_compute,legion (packed),,,,41283416.0,ns,117
heavy_compute,legion (packed),,,,43132333.0,ns,120
heavy_compute,legion (packed),,,,42998500.0,ns,123
heavy_compute,legion (packed),,,,44409792.0,ns,126
heavy_compute,legion (packed),,,,45192833.0,ns,129
heavy_compute,legion (packed),,,,45971500.0,ns,132
heavy_compute,legion (packed),,,,47267250.0,ns,135
heavy_compute,legion (packed),,,,49508541.0,ns,138
heavy_compute,legion (packed),,,,49440292.0,ns,141
heavy_compute,legion (packed),,,,52091625.0,ns,144
heavy_compute,legion (packed),,,,52974250.0,ns,147
heavy_compute,legion (packed),,,,54660959.0,ns,150
heavy_compute,legion (packed),,,,54608959.0,ns,153
heavy_compute,legion (packed),,,,55750458.0,ns,156
heavy_compute,legion (packed),,,,56067750.0,ns,159
heavy_compute,legion (packed),,,,57340250.0,ns,162
heavy_compute,legion (packed),,,,59247083.0,ns,165
heavy_compute,legion (packed),,,,60562708.0,ns,168
heavy_compute,legion (packed),,,,61899125.0,ns,171
heavy_compute,legion (packed),,,,62028666.0,ns,174
heavy_compute,legion (packed),,,,63408792.0,ns,177
heavy_compute,legion (packed),,,,64346958.0,ns,180
heavy_compute,legion (packed),,,,64658541.0,ns,183
heavy_compute,legion (packed),,,,65650708.0,ns,186
heavy_compute,legion (packed),,,,81300625.0,ns,189
heavy_compute,legion (packed),,,,71814459.0,ns,192
heavy_compute,legion (packed),,,,69495875.0,ns,195
heavy_compute,legion (packed),,,,70157709.0,ns,198
heavy_compute,legion (packed),,,,70878708.0,ns,201
heavy_compute,legion (packed),,,,71154916.0,ns,204
heavy_compute,legion (packed),,,,72952750.0,ns,207
heavy_compute,legion (packed),,,,78388500.0,ns,210
heavy_compute,legion (packed),,,,80091041.0,ns,213
heavy_compute,legion (packed),,,,77411583.0,ns,216
heavy_compute,legion (packed),,,,80734792.0,ns,219
heavy_compute,legion (packed),,,,82368792.0,ns,222
heavy_compute,legion (packed),,,,79969375.0,ns,225
heavy_compute,legion (packed),,,,85480125.0,ns,228
heavy_compute,legion (packed),,,,87764583.0,ns,231
heavy_compute,legion (packed),,,,83874625.0,ns,234
heavy_compute,legion (packed),,,,86770000.0,ns,237
heavy_compute,legion (packed),,,,91330875.0,ns,240
heavy_compute,legion (packed),,,,87743000.0,ns,243
heavy_compute,legion (packed),,,,88843458.0,ns,246
heavy_compute,legion (packed),,,,94837208.0,ns,249
heavy_compute,legion (packed),,,,92138667.0,ns,252
heavy_compute,legion (packed),,,,91778625.0,ns,255
heavy_compute,legion (packed),,,,97902833.0,ns,258
heavy_compute,legion (packed),,,,93507041.0,ns,261
heavy_compute,legion (packed),,,,95501292.0,ns,264
heavy_compute,legion (packed),,,,110842375.0,ns,267
heavy_compute,legion (packed),,,,98835083.0,ns,270
heavy_compute,legion (packed),,,,97341250.0,ns,273
heavy_compute,legion (packed),,,,99618958.0,ns,276
heavy_compute,legion (packed),,,,102668958.0,ns,279
heavy_compute,legion (packed),,,,106158458.0,ns,282
heavy_compute,legion (packed),,,,107614208.0,ns,285
heavy_compute,legion (packed),,,,102398416.0,ns,288
heavy_compute,legion (packed),,,,104247958.0,ns,291
heavy_compute,legion (packed),,,,108895667.0,ns,294
heavy_compute,legion (packed),,,,113847125.0,ns,297
heavy_compute,legion (packed),,,,117164458.0,ns,300
