group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,1259542.0,ns,3
heavy_compute,legion,,,,2141292.0,ns,6
heavy_compute,legion,,,,3263250.0,ns,9
heavy_compute,legion,,,,4693375.0,ns,12
heavy_compute,legion,,,,5323792.0,ns,15
heavy_compute,legion,,,,6421375.0,ns,18
heavy_compute,legion,,,,8487375.0,ns,21
heavy_compute,legion,,,,9011125.0,ns,24
heavy_compute,legion,,,,9878209.0,ns,27
heavy_compute,legion,,,,10789834.0,ns,30
heavy_compute,legion,,,,11940792.0,ns,33
heavy_compute,legion,,,,12981708.0,ns,36
heavy_compute,legion,,,,14039916.0,ns,39
heavy_compute,legion,,,,15187417.0,ns,42
heavy_compute,legion,,,,16049292.0,ns,45
heavy_compute,legion,,,,19927833.0,ns,48
heavy_compute,legion,,,,19250125.0,ns,51
heavy_compute,legion,,,,19646375.0,ns,54
heavy_compute,legion,,,,20164958.0,ns,57
heavy_compute,legion,,,,21927291.0,ns,60
heavy_compute,legion,,,,23569125.0,ns,63
heavy_compute,legion,,,,26486458.0,ns,66
heavy_compute,legion,,,,24540250.0,ns,69
heavy_compute,legion,,,,25678625.0,ns,72
heavy_compute,legion,,,,27676042.0,ns,75
heavy_compute,legion,,,,27704750.0,ns,78
heavy_compute,legion,,,,28306583.0,ns,81
heavy_compute,legion,,,,30959375.0,ns,84
heavy_compute,legion,,,,30947000.0,ns,87
heavy_compute,legion,,,,32731416.0,ns,90
heavy_compute,legion,,,,33705792.0,ns,93
heavy_compute,legion,,,,37266125.0,ns,96
heavy_compute,legion,,,,34788250.0,ns,99
heavy_compute,legion,,,,36610583.0,ns,102
heavy_compute,legion,,,,38218959.0,ns,105
heavy_compute,legion,,,,39230625.0,ns,108
heavy_compute,legion,,,,42321709.0,ns,111
heavy_compute,legion,,,,43151292.0,ns,114
heavy_compute,legion,,,,42348917.0,ns,117
heavy_compute,legion,,,,42390834.0,ns,120
heavy_compute,legion,,,,44178792.0,ns,123
heavy_compute,legion,,,,51283541.0,ns,126
heavy_compute,legion,,,,50485458.0,ns,129
heavy_compute,legion,,,,47773084.0,ns,132
heavy_compute,legion,,,,49271125.0,ns,135
heavy_compute,legion,,,,52642083.0,ns,138
heavy_compute,legion,,,,51548917.0,ns,141
heavy_compute,legion,,,,53244792.0,ns,144
heavy_compute,legion,,,,57360917.0,ns,147
heavy_compute,legion,,,,58708417.0,ns,150
heavy_compute,legion,,,,59525709.0,ns,153
heavy_compute,legion,,,,56808416.0,ns,156
heavy_compute,legion,,,,58950250.0,ns,159
heavy_compute,legion,,,,60382792.0,ns,162
heavy_compute,legion,,,,61884916.0,ns,165
heavy_compute,legion,,,,62215541.0,ns,168
heavy_compute,legion,,,,61084250.0,ns,171
heavy_compute,legion,,,,66489209.0,ns,174
heavy_compute,legion,,,,64116375.0,ns,177
heavy_compute,legion,,,,71207333.0,ns,180
heavy_compute,legion,,,,67564542.0,ns,183
heavy_compute,legion,,,,68698084.0,ns,186
heavy_compute,legion,,,,69079667.0,ns,189
heavy_compute,legion,,,,72242334.0,ns,192
heavy_compute,legion,,,,70599083.0,ns,195
heavy_compute,legion,,,,70545291.0,ns,198
heavy_compute,legion,,,,72474500.0,ns,201
heavy_compute,legion,,,,74616833.0,ns,204
heavy_compute,legion,,,,74728833.0,ns,207
heavy_compute,legion,,,,74694167.0,ns,210
heavy_compute,legion,,,,76811416.0,ns,213
heavy_compute,legion,,,,77937042.0,ns,216
heavy_compute,legion,,,,79862041.0,ns,219
heavy_compute,legion,,,,80754708.0,ns,222
heavy_compute,legion,,,,80003208.0,ns,225
heavy_compute,legion,,,,86220625.0,ns,228
heavy_compute,legion,,,,83275500.0,ns,231
heavy_compute,legion,,,,85530500.0,ns,234
heavy_compute,legion,,,,93660208.0,ns,237
heavy_compute,legion,,,,87957500.0,ns,240
heavy_compute,legion,,,,86510583.0,ns,243
heavy_compute,legion,,,,87792250.0,ns,246
heavy_compute,legion,,,,88759000.0,ns,249
heavy_compute,legion,,,,90723416.0,ns,252
heavy_compute,legion,,,,92841750.0,ns,255
heavy_compute,legion,,,,91702875.0,ns,258
heavy_compute,legion,,,,93811333.0,ns,261
heavy_compute,legion,,,,95433708.0,ns,264
heavy_compute,legion,,,,93788458.0,ns,267
heavy_compute,legion,,,,97158750.0,ns,270
heavy_compute,legion,,,,96095208.0,ns,273
heavy_compute,legion,,,,98402625.0,ns,276
heavy_compute,legion,,,,96807750.0,ns,279
heavy_compute,legion,,,,98918334.0,ns,282
heavy_compute,legion,,,,98900708.0,ns,285
heavy_compute,legion,,,,101733042.0,ns,288
heavy_compute,legion,,,,103584541.0,ns,291
heavy_compute,legion,,,,102556917.0,ns,294
heavy_compute,legion,,,,106441083.0,ns,297
heavy_compute,legion,,,,105140417.0,ns,300
