group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1591750.0,ns,3
heavy_compute,shipyard,,,,2391792.0,ns,6
heavy_compute,shipyard,,,,3335708.0,ns,9
heavy_compute,shipyard,,,,4364875.0,ns,12
heavy_compute,shipyard,,,,5510167.0,ns,15
heavy_compute,shipyard,,,,7617500.0,ns,18
heavy_compute,shipyard,,,,9160125.0,ns,21
heavy_compute,shipyard,,,,9755334.0,ns,24
heavy_compute,shipyard,,,,10800500.0,ns,27
heavy_compute,shipyard,,,,11199417.0,ns,30
heavy_compute,shipyard,,,,12219834.0,ns,33
heavy_compute,shipyard,,,,13820416.0,ns,36
heavy_compute,shipyard,,,,14223500.0,ns,39
heavy_compute,shipyard,,,,15360542.0,ns,42
heavy_compute,shipyard,,,,16237417.0,ns,45
heavy_compute,shipyard,,,,20294667.0,ns,48
heavy_compute,shipyard,,,,21094958.0,ns,51
heavy_compute,shipyard,,,,19713792.0,ns,54
heavy_compute,shipyard,,,,20648917.0,ns,57
heavy_compute,shipyard,,,,21870125.0,ns,60
heavy_compute,shipyard,,,,22880417.0,ns,63
heavy_compute,shipyard,,,,23800958.0,ns,66
heavy_compute,shipyard,,,,24848500.0,ns,69
heavy_compute,shipyard,,,,26959625.0,ns,72
heavy_compute,shipyard,,,,27955500.0,ns,75
heavy_compute,shipyard,,,,28924042.0,ns,78
heavy_compute,shipyard,,,,28932209.0,ns,81
heavy_compute,shipyard,,,,30683666.0,ns,84
heavy_compute,shipyard,,,,31767875.0,ns,87
heavy_compute,shipyard,,,,32709708.0,ns,90
heavy_compute,shipyard,,,,34079542.0,ns,93
heavy_compute,shipyard,,,,35371792.0,ns,96
heavy_compute,shipyard,,,,36518084.0,ns,99
heavy_compute,shipyard,,,,42318833.0,ns,102
heavy_compute,shipyard,,,,40484875.0,ns,105
heavy_compute,shipyard,,,,38992792.0,ns,108
heavy_compute,shipyard,,,,40295959.0,ns,111
heavy_compute,shipyard,,,,40900833.0,ns,114
heavy_compute,shipyard,,,,48735792.0,ns,117
heavy_compute,shipyard,,,,43912459.0,ns,120
heavy_compute,shipyard,,,,48206667.0,ns,123
heavy_compute,shipyard,,,,45386042.0,ns,126
heavy_compute,shipyard,,,,48373459.0,ns,129
heavy_compute,shipyard,,,,51372792.0,ns,132
heavy_compute,shipyard,,,,49257042.0,ns,135
heavy_compute,shipyard,,,,50276541.0,ns,138
heavy_compute,shipyard,,,,55327000.0,ns,141
heavy_compute,shipyard,,,,58642500.0,ns,144
heavy_compute,shipyard,,,,55094833.0,ns,147
heavy_compute,shipyard,,,,114298292.0,ns,150
heavy_compute,shipyard,,,,66870084.0,ns,153
heavy_compute,shipyard,,,,57132709.0,ns,156
heavy_compute,shipyard,,,,62088541.0,ns,159
heavy_compute,shipyard,,,,62183542.0,ns,162
heavy_compute,shipyard,,,,59773958.0,ns,165
heavy_compute,shipyard,,,,61468916.0,ns,168
heavy_compute,shipyard,,,,62365000.0,ns,171
heavy_compute,shipyard,,,,67039709.0,ns,174
heavy_compute,shipyard,,,,63990333.0,ns,177
heavy_compute,shipyard,,,,72059709.0,ns,180
heavy_compute,shipyard,,,,68153959.0,ns,183
heavy_compute,shipyard,,,,68391625.0,ns,186
heavy_compute,shipyard,,,,72711833.0,ns,189
heavy_compute,shipyard,,,,69200459.0,ns,192
heavy_compute,shipyard,,,,71673042.0,ns,195
heavy_compute,shipyard,,,,71845208.0,ns,198
heavy_compute,shipyard,,,,73960583.0,ns,201
heavy_compute,shipyard,,,,74396959.0,ns,204
heavy_compute,shipyard,,,,73922959.0,ns,207
heavy_compute,shipyard,,,,77587333.0,ns,210
heavy_compute,shipyard,,,,77013667.0,ns,213
heavy_compute,shipyard,,,,78823167.0,ns,216
heavy_compute,shipyard,,,,79526584.0,ns,219
heavy_compute,shipyard,,,,79351584.0,ns,222
heavy_compute,shipyard,,,,81544625.0,ns,225
heavy_compute,shipyard,,,,89088333.0,ns,228
heavy_compute,shipyard,,,,87499750.0,ns,231
heavy_compute,shipyard,,,,92541000.0,ns,234
heavy_compute,shipyard,,,,88748500.0,ns,237
heavy_compute,shipyard,,,,88875542.0,ns,240
heavy_compute,shipyard,,,,89365667.0,ns,243
heavy_compute,shipyard,,,,90848000.0,ns,246
heavy_compute,shipyard,,,,103301292.0,ns,249
heavy_compute,shipyard,,,,93154041.0,ns,252
heavy_compute,shipyard,,,,97997125.0,ns,255
heavy_compute,shipyard,,,,99463625.0,ns,258
heavy_compute,shipyard,,,,95587292.0,ns,261
heavy_compute,shipyard,,,,96287458.0,ns,264
heavy_compute,shipyard,,,,97372250.0,ns,267
heavy_compute,shipyard,,,,100466042.0,ns,270
heavy_compute,shipyard,,,,97209833.0,ns,273
heavy_compute,shipyard,,,,102014791.0,ns,276
heavy_compute,shipyard,,,,106189125.0,ns,279
heavy_compute,shipyard,,,,104868709.0,ns,282
heavy_compute,shipyard,,,,110482834.0,ns,285
heavy_compute,shipyard,,,,106257041.0,ns,288
heavy_compute,shipyard,,,,107919208.0,ns,291
heavy_compute,shipyard,,,,108363208.0,ns,294
heavy_compute,shipyard,,,,111235875.0,ns,297
heavy_compute,shipyard,,,,107951416.0,ns,300
