group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1259875.0,ns,3
heavy_compute,specs,,,,2458416.0,ns,6
heavy_compute,specs,,,,3907167.0,ns,9
heavy_compute,specs,,,,5208959.0,ns,12
heavy_compute,specs,,,,6433500.0,ns,15
heavy_compute,specs,,,,7437375.0,ns,18
heavy_compute,specs,,,,8977708.0,ns,21
heavy_compute,specs,,,,10295792.0,ns,24
heavy_compute,specs,,,,11434791.0,ns,27
heavy_compute,specs,,,,13208625.0,ns,30
heavy_compute,specs,,,,14401917.0,ns,33
heavy_compute,specs,,,,15486458.0,ns,36
heavy_compute,specs,,,,17388500.0,ns,39
heavy_compute,specs,,,,17568333.0,ns,42
heavy_compute,specs,,,,19082542.0,ns,45
heavy_compute,specs,,,,20351625.0,ns,48
heavy_compute,specs,,,,21856875.0,ns,51
heavy_compute,specs,,,,23184083.0,ns,54
heavy_compute,specs,,,,24825208.0,ns,57
heavy_compute,specs,,,,25753875.0,ns,60
heavy_compute,specs,,,,26370833.0,ns,63
heavy_compute,specs,,,,28345417.0,ns,66
heavy_compute,specs,,,,30443084.0,ns,69
heavy_compute,specs,,,,30697667.0,ns,72
heavy_compute,specs,,,,32521750.0,ns,75
heavy_compute,specs,,,,33304292.0,ns,78
heavy_compute,specs,,,,34315917.0,ns,81
heavy_compute,specs,,,,35811792.0,ns,84
heavy_compute,specs,,,,38015166.0,ns,87
heavy_compute,specs,,,,39092708.0,ns,90
heavy_compute,specs,,,,39527083.0,ns,93
heavy_compute,specs,,,,41207958.0,ns,96
heavy_compute,specs,,,,41332458.0,ns,99
heavy_compute,specs,,,,44200500.0,ns,102
heavy_compute,specs,,,,44139167.0,ns,105
heavy_compute,specs,,,,48314791.0,ns,108
heavy_compute,specs,,,,47855458.0,ns,111
heavy_compute,specs,,,,49675208.0,ns,114
heavy_compute,specs,,,,50360750.0,ns,117
heavy_compute,specs,,,,51705083.0,ns,120
heavy_compute,specs,,,,56331500.0,ns,123
heavy_compute,specs,,,,53559625.0,ns,126
heavy_compute,specs,,,,55241875.0,ns,129
heavy_compute,specs,,,,57211000.0,ns,132
heavy_compute,specs,,,,58409041.0,ns,135
heavy_compute,specs,,,,58123375.0,ns,138
heavy_compute,specs,,,,60608708.0,ns,141
heavy_compute,specs,,,,62000875.0,ns,144
heavy_compute,specs,,,,62339833.0,ns,147
heavy_compute,specs,,,,63983917.0,ns,150
heavy_compute,specs,,,,65620417.0,ns,153
heavy_compute,specs,,,,66241958.0,ns,156
heavy_compute,specs,,,,67424584.0,ns,159
heavy_compute,specs,,,,68776084.0,ns,162
heavy_compute,specs,,,,71785625.0,ns,165
heavy_compute,specs,,,,71983500.0,ns,168
heavy_compute,specs,,,,74017167.0,ns,171
heavy_compute,specs,,,,74987750.0,ns,174
heavy_compute,specs,,,,75548042.0,ns,177
heavy_compute,specs,,,,77603917.0,ns,180
heavy_compute,specs,,,,78533292.0,ns,183
heavy_compute,specs,,,,78145083.0,ns,186
heavy_compute,specs,,,,81100666.0,ns,189
heavy_compute,specs,,,,83174084.0,ns,192
heavy_compute,specs,,,,82908708.0,ns,195
heavy_compute,specs,,,,85190459.0,ns,198
heavy_compute,specs,,,,86567833.0,ns,201
heavy_compute,specs,,,,89377375.0,ns,204
heavy_compute,specs,,,,88811667.0,ns,207
heavy_compute,specs,,,,90303584.0,ns,210
heavy_compute,specs,,,,91328792.0,ns,213
heavy_compute,specs,,,,92581833.0,ns,216
heavy_compute,specs,,,,94322083.0,ns,219
heavy_compute,specs,,,,94300750.0,ns,222
heavy_compute,specs,,,,96492667.0,ns,225
heavy_compute,specs,,,,95823041.0,ns,228
heavy_compute,specs,,,,97633958.0,ns,231
heavy_compute,specs,,,,99950541.0,ns,234
heavy_compute,specs,,,,102076875.0,ns,237
heavy_compute,specs,,,,102013209.0,ns,240
heavy_compute,specs,,,,103762041.0,ns,243
heavy_compute,specs,,,,106423333.0,ns,246
heavy_compute,specs,,,,107331708.0,ns,249
heavy_compute,specs,,,,108095667.0,ns,252
heavy_compute,specs,,,,109566042.0,ns,255
heavy_compute,specs,,,,108776666.0,ns,258
heavy_compute,specs,,,,112594833.0,ns,261
heavy_compute,specs,,,,113451000.0,ns,264
heavy_compute,specs,,,,113690542.0,ns,267
heavy_compute,specs,,,,114956250.0,ns,270
heavy_compute,specs,,,,117184917.0,ns,273
heavy_compute,specs,,,,117706916.0,ns,276
heavy_compute,specs,,,,119219292.0,ns,279
heavy_compute,specs,,,,119729166.0,ns,282
heavy_compute,specs,,,,122022541.0,ns,285
heavy_compute,specs,,,,123008541.0,ns,288
heavy_compute,specs,,,,123990958.0,ns,291
heavy_compute,specs,,,,125623792.0,ns,294
heavy_compute,specs,,,,127539542.0,ns,297
heavy_compute,specs,,,,128351042.0,ns,300
