group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1166667.0,ns,9
schedule,bevy,,,,2036667.0,ns,18
schedule,bevy,,,,3304334.0,ns,27
schedule,bevy,,,,4119500.0,ns,36
schedule,bevy,,,,4891000.0,ns,45
schedule,bevy,,,,6052750.0,ns,54
schedule,bevy,,,,7166833.0,ns,63
schedule,bevy,,,,8147584.0,ns,72
schedule,bevy,,,,9133292.0,ns,81
schedule,bevy,,,,10371542.0,ns,90
schedule,bevy,,,,11016000.0,ns,99
schedule,bevy,,,,12572125.0,ns,108
schedule,bevy,,,,13558292.0,ns,117
schedule,bevy,,,,14121042.0,ns,126
schedule,bevy,,,,15070459.0,ns,135
schedule,bevy,,,,16130833.0,ns,144
schedule,bevy,,,,17484959.0,ns,153
schedule,bevy,,,,18346042.0,ns,162
schedule,bevy,,,,18132958.0,ns,171
schedule,bevy,,,,20862834.0,ns,180
schedule,bevy,,,,20549084.0,ns,189
schedule,bevy,,,,22154916.0,ns,198
schedule,bevy,,,,23743916.0,ns,207
schedule,bevy,,,,23436625.0,ns,216
schedule,bevy,,,,25610875.0,ns,225
schedule,bevy,,,,26031500.0,ns,234
schedule,bevy,,,,27636750.0,ns,243
schedule,bevy,,,,27794084.0,ns,252
schedule,bevy,,,,28871791.0,ns,261
schedule,bevy,,,,29201208.0,ns,270
schedule,bevy,,,,30662500.0,ns,279
schedule,bevy,,,,31306166.0,ns,288
schedule,bevy,,,,31895959.0,ns,297
schedule,bevy,,,,33777916.0,ns,306
schedule,bevy,,,,34329417.0,ns,315
schedule,bevy,,,,36936792.0,ns,324
schedule,bevy,,,,38174500.0,ns,333
schedule,bevy,,,,37908167.0,ns,342
schedule,bevy,,,,38312125.0,ns,351
schedule,bevy,,,,41116416.0,ns,360
schedule,bevy,,,,40497625.0,ns,369
schedule,bevy,,,,41794875.0,ns,378
schedule,bevy,,,,42510000.0,ns,387
schedule,bevy,,,,43890541.0,ns,396
schedule,bevy,,,,44879584.0,ns,405
schedule,bevy,,,,45605792.0,ns,414
schedule,bevy,,,,47908541.0,ns,423
schedule,bevy,,,,49284375.0,ns,432
schedule,bevy,,,,48975875.0,ns,441
schedule,bevy,,,,49319750.0,ns,450
schedule,bevy,,,,50834833.0,ns,459
schedule,bevy,,,,50817417.0,ns,468
schedule,bevy,,,,54150834.0,ns,477
schedule,bevy,,,,54008000.0,ns,486
schedule,bevy,,,,54883166.0,ns,495
schedule,bevy,,,,55074458.0,ns,504
schedule,bevy,,,,56636166.0,ns,513
schedule,bevy,,,,59525542.0,ns,522
schedule,bevy,,,,60609125.0,ns,531
schedule,bevy,,,,58929333.0,ns,540
schedule,bevy,,,,60205042.0,ns,549
schedule,bevy,,,,61762917.0,ns,558
schedule,bevy,,,,63098792.0,ns,567
schedule,bevy,,,,63858958.0,ns,576
schedule,bevy,,,,67208959.0,ns,585
schedule,bevy,,,,65961000.0,ns,594
schedule,bevy,,,,66163167.0,ns,603
schedule,bevy,,,,67742542.0,ns,612
schedule,bevy,,,,68279625.0,ns,621
schedule,bevy,,,,69263625.0,ns,630
schedule,bevy,,,,72770708.0,ns,639
schedule,bevy,,,,73770833.0,ns,648
schedule,bevy,,,,74874542.0,ns,657
schedule,bevy,,,,75657500.0,ns,666
schedule,bevy,,,,74622625.0,ns,675
schedule,bevy,,,,74884917.0,ns,684
schedule,bevy,,,,79104041.0,ns,693
schedule,bevy,,,,76526666.0,ns,702
schedule,bevy,,,,80063750.0,ns,711
schedule,bevy,,,,80690833.0,ns,720
schedule,bevy,,,,79630250.0,ns,729
schedule,bevy,,,,80479750.0,ns,738
schedule,bevy,,,,82227833.0,ns,747
schedule,bevy,,,,85415583.0,ns,756
schedule,bevy,,,,86727292.0,ns,765
schedule,bevy,,,,87689125.0,ns,774
schedule,bevy,,,,85465542.0,ns,783
schedule,bevy,,,,87329375.0,ns,792
schedule,bevy,,,,87517416.0,ns,801
schedule,bevy,,,,89875083.0,ns,810
schedule,bevy,,,,90652542.0,ns,819
schedule,bevy,,,,93532334.0,ns,828
schedule,bevy,,,,94342208.0,ns,837
schedule,bevy,,,,94351625.0,ns,846
schedule,bevy,,,,93501083.0,ns,855
schedule,bevy,,,,94986708.0,ns,864
schedule,bevy,,,,99181834.0,ns,873
schedule,bevy,,,,96720292.0,ns,882
schedule,bevy,,,,96119084.0,ns,891
schedule,bevy,,,,98629792.0,ns,900
