group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,1251584.0,ns,29
schedule,legion (packed),,,,2526959.0,ns,58
schedule,legion (packed),,,,3095916.0,ns,87
schedule,legion (packed),,,,4672875.0,ns,116
schedule,legion (packed),,,,5779833.0,ns,145
schedule,legion (packed),,,,6695833.0,ns,174
schedule,legion (packed),,,,8508500.0,ns,203
schedule,legion (packed),,,,8787417.0,ns,232
schedule,legion (packed),,,,9545250.0,ns,261
schedule,legion (packed),,,,11649708.0,ns,290
schedule,legion (packed),,,,13015042.0,ns,319
schedule,legion (packed),,,,12953125.0,ns,348
schedule,legion (packed),,,,12712084.0,ns,377
schedule,legion (packed),,,,15487333.0,ns,406
schedule,legion (packed),,,,16835333.0,ns,435
schedule,legion (packed),,,,16979167.0,ns,464
schedule,legion (packed),,,,17932166.0,ns,493
schedule,legion (packed),,,,18250291.0,ns,522
schedule,legion (packed),,,,21280250.0,ns,551
schedule,legion (packed),,,,21227709.0,ns,580
schedule,legion (packed),,,,22660708.0,ns,609
schedule,legion (packed),,,,22961292.0,ns,638
schedule,legion (packed),,,,25620250.0,ns,667
schedule,legion (packed),,,,25538041.0,ns,696
schedule,legion (packed),,,,26655875.0,ns,725
schedule,legion (packed),,,,27244834.0,ns,754
schedule,legion (packed),,,,28837083.0,ns,783
schedule,legion (packed),,,,30408250.0,ns,812
schedule,legion (packed),,,,31829208.0,ns,841
schedule,legion (packed),,,,31880292.0,ns,870
schedule,legion (packed),,,,34762333.0,ns,899
schedule,legion (packed),,,,35962042.0,ns,928
schedule,legion (packed),,,,35461708.0,ns,957
schedule,legion (packed),,,,36829792.0,ns,986
schedule,legion (packed),,,,38696291.0,ns,1015
schedule,legion (packed),,,,38892500.0,ns,1044
schedule,legion (packed),,,,40980625.0,ns,1073
schedule,legion (packed),,,,42701834.0,ns,1102
schedule,legion (packed),,,,42616583.0,ns,1131
schedule,legion (packed),,,,43399583.0,ns,1160
schedule,legion (packed),,,,44790375.0,ns,1189
schedule,legion (packed),,,,44640541.0,ns,1218
schedule,legion (packed),,,,45713083.0,ns,1247
schedule,legion (packed),,,,47236167.0,ns,1276
schedule,legion (packed),,,,46602834.0,ns,1305
schedule,legion (packed),,,,51059000.0,ns,1334
schedule,legion (packed),,,,52371417.0,ns,1363
schedule,legion (packed),,,,50671791.0,ns,1392
schedule,legion (packed),,,,51621875.0,ns,1421
schedule,legion (packed),,,,51957583.0,ns,1450
schedule,legion (packed),,,,53997750.0,ns,1479
schedule,legion (packed),,,,55171750.0,ns,1508
schedule,legion (packed),,,,57223292.0,ns,1537
schedule,legion (packed),,,,59417541.0,ns,1566
schedule,legion (packed),,,,58065125.0,ns,1595
schedule,legion (packed),,,,61169291.0,ns,1624
schedule,legion (packed),,,,60509417.0,ns,1653
schedule,legion (packed),,,,63126625.0,ns,1682
schedule,legion (packed),,,,63372625.0,ns,1711
schedule,legion (packed),,,,67068542.0,ns,1740
schedule,legion (packed),,,,67345583.0,ns,1769
schedule,legion (packed),,,,69673542.0,ns,1798
schedule,legion (packed),,,,66736209.0,ns,1827
schedule,legion (packed),,,,66925916.0,ns,1856
schedule,legion (packed),,,,70778250.0,ns,1885
schedule,legion (packed),,,,70374166.0,ns,1914
schedule,legion (packed),,,,75280708.0,ns,1943
schedule,legion (packed),,,,75311542.0,ns,1972
schedule,legion (packed),,,,72636959.0,ns,2001
schedule,legion (packed),,,,76616292.0,ns,2030
schedule,legion (packed),,,,77632666.0,ns,2059
schedule,legion (packed),,,,76713958.0,ns,2088
schedule,legion (packed),,,,80395917.0,ns,2117
schedule,legion (packed),,,,81022625.0,ns,2146
schedule,legion (packed),,,,79759792.0,ns,2175
schedule,legion (packed),,,,81597292.0,ns,2204
schedule,legion (packed),,,,81872042.0,ns,2233
schedule,legion (packed),,,,83324041.0,ns,2262
schedule,legion (packed),,,,84424166.0,ns,2291
schedule,legion (packed),,,,83952375.0,ns,2320
schedule,legion (packed),,,,87886500.0,ns,2349
schedule,legion (packed),,,,87457791.0,ns,2378
schedule,legion (packed),,,,87635250.0,ns,2407
schedule,legion (packed),,,,86924709.0,ns,2436
schedule,legion (packed),,,,93348000.0,ns,2465
schedule,legion (packed),,,,94416959.0,ns,2494
schedule,legion (packed),,,,94804083.0,ns,2523
schedule,legion (packed),,,,95508542.0,ns,2552
schedule,legion (packed),,,,94559875.0,ns,2581
schedule,legion (packed),,,,95363084.0,ns,2610
schedule,legion (packed),,,,100030750.0,ns,2639
schedule,legion (packed),,,,98911667.0,ns,2668
schedule,legion (packed),,,,96734583.0,ns,2697
schedule,legion (packed),,,,99224667.0,ns,2726
schedule,legion (packed),,,,100053250.0,ns,2755
schedule,legion (packed),,,,99282042.0,ns,2784
schedule,legion (packed),,,,102015041.0,ns,2813
schedule,legion (packed),,,,101688542.0,ns,2842
schedule,legion (packed),,,,105183375.0,ns,2871
schedule,legion (packed),,,,105948541.0,ns,2900
