group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1140208.0,ns,30
schedule,legion,,,,2314208.0,ns,60
schedule,legion,,,,2826792.0,ns,90
schedule,legion,,,,4384542.0,ns,120
schedule,legion,,,,5542667.0,ns,150
schedule,legion,,,,6639000.0,ns,180
schedule,legion,,,,7723167.0,ns,210
schedule,legion,,,,9607125.0,ns,240
schedule,legion,,,,9827833.0,ns,270
schedule,legion,,,,10990125.0,ns,300
schedule,legion,,,,12966833.0,ns,330
schedule,legion,,,,12892750.0,ns,360
schedule,legion,,,,14692958.0,ns,390
schedule,legion,,,,15101958.0,ns,420
schedule,legion,,,,16962542.0,ns,450
schedule,legion,,,,18052708.0,ns,480
schedule,legion,,,,17327500.0,ns,510
schedule,legion,,,,19476666.0,ns,540
schedule,legion,,,,20756708.0,ns,570
schedule,legion,,,,21779750.0,ns,600
schedule,legion,,,,23759208.0,ns,630
schedule,legion,,,,25231250.0,ns,660
schedule,legion,,,,24426250.0,ns,690
schedule,legion,,,,23242917.0,ns,720
schedule,legion,,,,18441375.0,ns,750
schedule,legion,,,,18067000.0,ns,780
schedule,legion,,,,32130041.0,ns,810
schedule,legion,,,,32374792.0,ns,840
schedule,legion,,,,32193875.0,ns,870
schedule,legion,,,,35152333.0,ns,900
schedule,legion,,,,35937708.0,ns,930
schedule,legion,,,,36030792.0,ns,960
schedule,legion,,,,38226917.0,ns,990
schedule,legion,,,,39522791.0,ns,1020
schedule,legion,,,,41053958.0,ns,1050
schedule,legion,,,,40349792.0,ns,1080
schedule,legion,,,,40774084.0,ns,1110
schedule,legion,,,,41335666.0,ns,1140
schedule,legion,,,,43412250.0,ns,1170
schedule,legion,,,,44168750.0,ns,1200
schedule,legion,,,,44946416.0,ns,1230
schedule,legion,,,,47402083.0,ns,1260
schedule,legion,,,,48355958.0,ns,1290
schedule,legion,,,,51349125.0,ns,1320
schedule,legion,,,,54921291.0,ns,1350
schedule,legion,,,,52447667.0,ns,1380
schedule,legion,,,,50529166.0,ns,1410
schedule,legion,,,,53668833.0,ns,1440
schedule,legion,,,,52477583.0,ns,1470
schedule,legion,,,,54843708.0,ns,1500
schedule,legion,,,,59078708.0,ns,1530
schedule,legion,,,,57248834.0,ns,1560
schedule,legion,,,,60431375.0,ns,1590
schedule,legion,,,,60811792.0,ns,1620
schedule,legion,,,,59881750.0,ns,1650
schedule,legion,,,,66199292.0,ns,1680
schedule,legion,,,,65246792.0,ns,1710
schedule,legion,,,,63549667.0,ns,1740
schedule,legion,,,,66673875.0,ns,1770
schedule,legion,,,,66150875.0,ns,1800
schedule,legion,,,,65425709.0,ns,1830
schedule,legion,,,,66806333.0,ns,1860
schedule,legion,,,,69794125.0,ns,1890
schedule,legion,,,,71396625.0,ns,1920
schedule,legion,,,,71106875.0,ns,1950
schedule,legion,,,,72321458.0,ns,1980
schedule,legion,,,,72852250.0,ns,2010
schedule,legion,,,,73532750.0,ns,2040
schedule,legion,,,,73785208.0,ns,2070
schedule,legion,,,,90264375.0,ns,2100
schedule,legion,,,,79310500.0,ns,2130
schedule,legion,,,,79770291.0,ns,2160
schedule,legion,,,,81800708.0,ns,2190
schedule,legion,,,,83745000.0,ns,2220
schedule,legion,,,,84480083.0,ns,2250
schedule,legion,,,,84491334.0,ns,2280
schedule,legion,,,,84963250.0,ns,2310
schedule,legion,,,,87864042.0,ns,2340
schedule,legion,,,,89804958.0,ns,2370
schedule,legion,,,,89385167.0,ns,2400
schedule,legion,,,,87083708.0,ns,2430
schedule,legion,,,,91774708.0,ns,2460
schedule,legion,,,,93490709.0,ns,2490
schedule,legion,,,,96480708.0,ns,2520
schedule,legion,,,,95555250.0,ns,2550
schedule,legion,,,,94853125.0,ns,2580
schedule,legion,,,,99260625.0,ns,2610
schedule,legion,,,,101170042.0,ns,2640
schedule,legion,,,,98888375.0,ns,2670
schedule,legion,,,,99242666.0,ns,2700
schedule,legion,,,,135222500.0,ns,2730
schedule,legion,,,,105836375.0,ns,2760
schedule,legion,,,,107125459.0,ns,2790
schedule,legion,,,,104189125.0,ns,2820
schedule,legion,,,,115560458.0,ns,2850
schedule,legion,,,,107950542.0,ns,2880
schedule,legion,,,,109811542.0,ns,2910
schedule,legion,,,,111662083.0,ns,2940
schedule,legion,,,,111054541.0,ns,2970
schedule,legion,,,,111380042.0,ns,3000
