group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1005875.0,ns,5
schedule,planck_ecs,,,,1972916.0,ns,10
schedule,planck_ecs,,,,3034542.0,ns,15
schedule,planck_ecs,,,,3960125.0,ns,20
schedule,planck_ecs,,,,4900042.0,ns,25
schedule,planck_ecs,,,,5871500.0,ns,30
schedule,planck_ecs,,,,7180792.0,ns,35
schedule,planck_ecs,,,,8155875.0,ns,40
schedule,planck_ecs,,,,9177458.0,ns,45
schedule,planck_ecs,,,,10101208.0,ns,50
schedule,planck_ecs,,,,11135375.0,ns,55
schedule,planck_ecs,,,,12111583.0,ns,60
schedule,planck_ecs,,,,13050000.0,ns,65
schedule,planck_ecs,,,,14057833.0,ns,70
schedule,planck_ecs,,,,14954458.0,ns,75
schedule,planck_ecs,,,,15897584.0,ns,80
schedule,planck_ecs,,,,17054166.0,ns,85
schedule,planck_ecs,,,,17996583.0,ns,90
schedule,planck_ecs,,,,18506416.0,ns,95
schedule,planck_ecs,,,,19935166.0,ns,100
schedule,planck_ecs,,,,21239958.0,ns,105
schedule,planck_ecs,,,,22140583.0,ns,110
schedule,planck_ecs,,,,23318542.0,ns,115
schedule,planck_ecs,,,,24073208.0,ns,120
schedule,planck_ecs,,,,25344625.0,ns,125
schedule,planck_ecs,,,,25856542.0,ns,130
schedule,planck_ecs,,,,27168208.0,ns,135
schedule,planck_ecs,,,,27967708.0,ns,140
schedule,planck_ecs,,,,28866084.0,ns,145
schedule,planck_ecs,,,,29967417.0,ns,150
schedule,planck_ecs,,,,30867625.0,ns,155
schedule,planck_ecs,,,,31920667.0,ns,160
schedule,planck_ecs,,,,32558083.0,ns,165
schedule,planck_ecs,,,,33645083.0,ns,170
schedule,planck_ecs,,,,35455167.0,ns,175
schedule,planck_ecs,,,,36347583.0,ns,180
schedule,planck_ecs,,,,37388250.0,ns,185
schedule,planck_ecs,,,,38093333.0,ns,190
schedule,planck_ecs,,,,38974042.0,ns,195
schedule,planck_ecs,,,,40438792.0,ns,200
schedule,planck_ecs,,,,41359417.0,ns,205
schedule,planck_ecs,,,,41976750.0,ns,210
schedule,planck_ecs,,,,42777208.0,ns,215
schedule,planck_ecs,,,,43060250.0,ns,220
schedule,planck_ecs,,,,44969833.0,ns,225
schedule,planck_ecs,,,,46030625.0,ns,230
schedule,planck_ecs,,,,46323042.0,ns,235
schedule,planck_ecs,,,,47749416.0,ns,240
schedule,planck_ecs,,,,49076833.0,ns,245
schedule,planck_ecs,,,,49934084.0,ns,250
schedule,planck_ecs,,,,51677042.0,ns,255
schedule,planck_ecs,,,,51912083.0,ns,260
schedule,planck_ecs,,,,52828166.0,ns,265
schedule,planck_ecs,,,,54005667.0,ns,270
schedule,planck_ecs,,,,54889417.0,ns,275
schedule,planck_ecs,,,,56242375.0,ns,280
schedule,planck_ecs,,,,57385583.0,ns,285
schedule,planck_ecs,,,,57559833.0,ns,290
schedule,planck_ecs,,,,59381750.0,ns,295
schedule,planck_ecs,,,,60404209.0,ns,300
schedule,planck_ecs,,,,61509417.0,ns,305
schedule,planck_ecs,,,,61960375.0,ns,310
schedule,planck_ecs,,,,62927083.0,ns,315
schedule,planck_ecs,,,,63744500.0,ns,320
schedule,planck_ecs,,,,65327417.0,ns,325
schedule,planck_ecs,,,,66259833.0,ns,330
schedule,planck_ecs,,,,66944625.0,ns,335
schedule,planck_ecs,,,,67837625.0,ns,340
schedule,planck_ecs,,,,69085042.0,ns,345
schedule,planck_ecs,,,,69995709.0,ns,350
schedule,planck_ecs,,,,71481500.0,ns,355
schedule,planck_ecs,,,,72109708.0,ns,360
schedule,planck_ecs,,,,72686959.0,ns,365
schedule,planck_ecs,,,,72855750.0,ns,370
schedule,planck_ecs,,,,74650250.0,ns,375
schedule,planck_ecs,,,,76269083.0,ns,380
schedule,planck_ecs,,,,77374917.0,ns,385
schedule,planck_ecs,,,,78219375.0,ns,390
schedule,planck_ecs,,,,79286917.0,ns,395
schedule,planck_ecs,,,,80305875.0,ns,400
schedule,planck_ecs,,,,80835833.0,ns,405
schedule,planck_ecs,,,,82025209.0,ns,410
schedule,planck_ecs,,,,83123042.0,ns,415
schedule,planck_ecs,,,,84335250.0,ns,420
schedule,planck_ecs,,,,84594708.0,ns,425
schedule,planck_ecs,,,,86275542.0,ns,430
schedule,planck_ecs,,,,87329959.0,ns,435
schedule,planck_ecs,,,,88287625.0,ns,440
schedule,planck_ecs,,,,89870042.0,ns,445
schedule,planck_ecs,,,,89812167.0,ns,450
schedule,planck_ecs,,,,91234000.0,ns,455
schedule,planck_ecs,,,,92308167.0,ns,460
schedule,planck_ecs,,,,93163708.0,ns,465
schedule,planck_ecs,,,,94273083.0,ns,470
schedule,planck_ecs,,,,94970625.0,ns,475
schedule,planck_ecs,,,,97932333.0,ns,480
schedule,planck_ecs,,,,98077584.0,ns,485
schedule,planck_ecs,,,,98289500.0,ns,490
schedule,planck_ecs,,,,99424209.0,ns,495
schedule,planck_ecs,,,,100699208.0,ns,500
