group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1171792.0,ns,13
serialize_binary,hecs,,,,1911333.0,ns,26
serialize_binary,hecs,,,,3457834.0,ns,39
serialize_binary,hecs,,,,3746625.0,ns,52
serialize_binary,hecs,,,,5778375.0,ns,65
serialize_binary,hecs,,,,5601916.0,ns,78
serialize_binary,hecs,,,,8185875.0,ns,91
serialize_binary,hecs,,,,7523959.0,ns,104
serialize_binary,hecs,,,,10745625.0,ns,117
serialize_binary,hecs,,,,11897833.0,ns,130
serialize_binary,hecs,,,,13122083.0,ns,143
serialize_binary,hecs,,,,11511792.0,ns,156
serialize_binary,hecs,,,,15475042.0,ns,169
serialize_binary,hecs,,,,13397958.0,ns,182
serialize_binary,hecs,,,,17947584.0,ns,195
serialize_binary,hecs,,,,15276583.0,ns,208
serialize_binary,hecs,,,,17916000.0,ns,221
serialize_binary,hecs,,,,18122792.0,ns,234
serialize_binary,hecs,,,,18477666.0,ns,247
serialize_binary,hecs,,,,23877542.0,ns,260
serialize_binary,hecs,,,,20149166.0,ns,273
serialize_binary,hecs,,,,26104041.0,ns,286
serialize_binary,hecs,,,,21921083.0,ns,299
serialize_binary,hecs,,,,26014875.0,ns,312
serialize_binary,hecs,,,,27807708.0,ns,325
serialize_binary,hecs,,,,25331625.0,ns,338
serialize_binary,hecs,,,,28374625.0,ns,351
serialize_binary,hecs,,,,27661166.0,ns,364
serialize_binary,hecs,,,,28043625.0,ns,377
serialize_binary,hecs,,,,35651000.0,ns,390
serialize_binary,hecs,,,,29883667.0,ns,403
serialize_binary,hecs,,,,37626750.0,ns,416
serialize_binary,hecs,,,,31621459.0,ns,429
serialize_binary,hecs,,,,39808833.0,ns,442
serialize_binary,hecs,,,,34180834.0,ns,455
serialize_binary,hecs,,,,42638208.0,ns,468
serialize_binary,hecs,,,,35503041.0,ns,481
serialize_binary,hecs,,,,44567666.0,ns,494
serialize_binary,hecs,,,,40302000.0,ns,507
serialize_binary,hecs,,,,47574708.0,ns,520
serialize_binary,hecs,,,,39500125.0,ns,533
serialize_binary,hecs,,,,49409625.0,ns,546
serialize_binary,hecs,,,,43128750.0,ns,559
serialize_binary,hecs,,,,49379083.0,ns,572
serialize_binary,hecs,,,,43088625.0,ns,585
serialize_binary,hecs,,,,53160416.0,ns,598
serialize_binary,hecs,,,,43957209.0,ns,611
serialize_binary,hecs,,,,55058250.0,ns,624
serialize_binary,hecs,,,,45823667.0,ns,637
serialize_binary,hecs,,,,57614458.0,ns,650
serialize_binary,hecs,,,,48609208.0,ns,663
serialize_binary,hecs,,,,61602292.0,ns,676
serialize_binary,hecs,,,,58975500.0,ns,689
serialize_binary,hecs,,,,63615333.0,ns,702
serialize_binary,hecs,,,,60001209.0,ns,715
serialize_binary,hecs,,,,66424041.0,ns,728
serialize_binary,hecs,,,,67293208.0,ns,741
serialize_binary,hecs,,,,55792250.0,ns,754
serialize_binary,hecs,,,,69688166.0,ns,767
serialize_binary,hecs,,,,57364334.0,ns,780
serialize_binary,hecs,,,,71150500.0,ns,793
serialize_binary,hecs,,,,59169125.0,ns,806
serialize_binary,hecs,,,,73997625.0,ns,819
serialize_binary,hecs,,,,61959500.0,ns,832
serialize_binary,hecs,,,,76973583.0,ns,845
serialize_binary,hecs,,,,63349584.0,ns,858
serialize_binary,hecs,,,,78792375.0,ns,871
serialize_binary,hecs,,,,64971292.0,ns,884
serialize_binary,hecs,,,,81001125.0,ns,897
serialize_binary,hecs,,,,67005458.0,ns,910
serialize_binary,hecs,,,,68526875.0,ns,923
serialize_binary,hecs,,,,78445959.0,ns,936
serialize_binary,hecs,,,,80182417.0,ns,949
serialize_binary,hecs,,,,71325167.0,ns,962
serialize_binary,hecs,,,,82856375.0,ns,975
serialize_binary,hecs,,,,73777334.0,ns,988
serialize_binary,hecs,,,,83828666.0,ns,1001
serialize_binary,hecs,,,,76245541.0,ns,1014
serialize_binary,hecs,,,,87353500.0,ns,1027
serialize_binary,hecs,,,,77267459.0,ns,1040
serialize_binary,hecs,,,,88812125.0,ns,1053
serialize_binary,hecs,,,,78659042.0,ns,1066
serialize_binary,hecs,,,,91409583.0,ns,1079
serialize_binary,hecs,,,,80944833.0,ns,1092
serialize_binary,hecs,,,,93033542.0,ns,1105
serialize_binary,hecs,,,,82538833.0,ns,1118
serialize_binary,hecs,,,,94306500.0,ns,1131
serialize_binary,hecs,,,,84367833.0,ns,1144
serialize_binary,hecs,,,,98103083.0,ns,1157
serialize_binary,hecs,,,,87294959.0,ns,1170
serialize_binary,hecs,,,,99584417.0,ns,1183
serialize_binary,hecs,,,,88327083.0,ns,1196
serialize_binary,hecs,,,,101373416.0,ns,1209
serialize_binary,hecs,,,,90993750.0,ns,1222
serialize_binary,hecs,,,,103866792.0,ns,1235
serialize_binary,hecs,,,,92423584.0,ns,1248
serialize_binary,hecs,,,,105458375.0,ns,1261
serialize_binary,hecs,,,,93515083.0,ns,1274
serialize_binary,hecs,,,,95385875.0,ns,1287
serialize_binary,hecs,,,,96718541.0,ns,1300
