group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,1507833.0,ns,1
serialize_binary,legion,,,,2457292.0,ns,2
serialize_binary,legion,,,,3616666.0,ns,3
serialize_binary,legion,,,,4486750.0,ns,4
serialize_binary,legion,,,,5499250.0,ns,5
serialize_binary,legion,,,,6322625.0,ns,6
serialize_binary,legion,,,,7354167.0,ns,7
serialize_binary,legion,,,,8424125.0,ns,8
serialize_binary,legion,,,,9675458.0,ns,9
serialize_binary,legion,,,,10478666.0,ns,10
serialize_binary,legion,,,,11488250.0,ns,11
serialize_binary,legion,,,,12576833.0,ns,12
serialize_binary,legion,,,,13591166.0,ns,13
serialize_binary,legion,,,,14631958.0,ns,14
serialize_binary,legion,,,,15735792.0,ns,15
serialize_binary,legion,,,,16487458.0,ns,16
serialize_binary,legion,,,,17668833.0,ns,17
serialize_binary,legion,,,,18605750.0,ns,18
serialize_binary,legion,,,,19338500.0,ns,19
serialize_binary,legion,,,,20426375.0,ns,20
serialize_binary,legion,,,,20709334.0,ns,21
serialize_binary,legion,,,,22267291.0,ns,22
serialize_binary,legion,,,,24164042.0,ns,23
serialize_binary,legion,,,,24384584.0,ns,24
serialize_binary,legion,,,,25571458.0,ns,25
serialize_binary,legion,,,,26537167.0,ns,26
serialize_binary,legion,,,,27598833.0,ns,27
serialize_binary,legion,,,,28354209.0,ns,28
serialize_binary,legion,,,,29404250.0,ns,29
serialize_binary,legion,,,,30170792.0,ns,30
serialize_binary,legion,,,,31730375.0,ns,31
serialize_binary,legion,,,,32656166.0,ns,32
serialize_binary,legion,,,,33592834.0,ns,33
serialize_binary,legion,,,,34430833.0,ns,34
serialize_binary,legion,,,,35131916.0,ns,35
serialize_binary,legion,,,,36342334.0,ns,36
serialize_binary,legion,,,,37596584.0,ns,37
serialize_binary,legion,,,,39440958.0,ns,38
serialize_binary,legion,,,,39342667.0,ns,39
serialize_binary,legion,,,,40912042.0,ns,40
serialize_binary,legion,,,,41767250.0,ns,41
serialize_binary,legion,,,,42759792.0,ns,42
serialize_binary,legion,,,,43366834.0,ns,43
serialize_binary,legion,,,,44680417.0,ns,44
serialize_binary,legion,,,,45858542.0,ns,45
serialize_binary,legion,,,,46713791.0,ns,46
serialize_binary,legion,,,,47452083.0,ns,47
serialize_binary,legion,,,,48601542.0,ns,48
serialize_binary,legion,,,,49412042.0,ns,49
serialize_binary,legion,,,,50837333.0,ns,50
serialize_binary,legion,,,,51219417.0,ns,51
serialize_binary,legion,,,,52702708.0,ns,52
serialize_binary,legion,,,,53920458.0,ns,53
serialize_binary,legion,,,,54769042.0,ns,54
serialize_binary,legion,,,,55692584.0,ns,55
serialize_binary,legion,,,,56742542.0,ns,56
serialize_binary,legion,,,,57622833.0,ns,57
serialize_binary,legion,,,,57680250.0,ns,58
serialize_binary,legion,,,,59308333.0,ns,59
serialize_binary,legion,,,,61110083.0,ns,60
serialize_binary,legion,,,,61968541.0,ns,61
serialize_binary,legion,,,,62916208.0,ns,62
serialize_binary,legion,,,,64335125.0,ns,63
serialize_binary,legion,,,,65865000.0,ns,64
serialize_binary,legion,,,,66352125.0,ns,65
serialize_binary,legion,,,,67699541.0,ns,66
serialize_binary,legion,,,,68894084.0,ns,67
serialize_binary,legion,,,,68144667.0,ns,68
serialize_binary,legion,,,,71254458.0,ns,69
serialize_binary,legion,,,,71352375.0,ns,70
serialize_binary,legion,,,,71150541.0,ns,71
serialize_binary,legion,,,,72829292.0,ns,72
serialize_binary,legion,,,,73794959.0,ns,73
serialize_binary,legion,,,,75254000.0,ns,74
serialize_binary,legion,,,,75665667.0,ns,75
serialize_binary,legion,,,,77135125.0,ns,76
serialize_binary,legion,,,,77188042.0,ns,77
serialize_binary,legion,,,,79512459.0,ns,78
serialize_binary,legion,,,,79355833.0,ns,79
serialize_binary,legion,,,,80723291.0,ns,80
serialize_binary,legion,,,,81173833.0,ns,81
serialize_binary,legion,,,,83133500.0,ns,82
serialize_binary,legion,,,,82699709.0,ns,83
serialize_binary,legion,,,,84973875.0,ns,84
serialize_binary,legion,,,,86193083.0,ns,85
serialize_binary,legion,,,,85693625.0,ns,86
serialize_binary,legion,,,,88331500.0,ns,87
serialize_binary,legion,,,,88947959.0,ns,88
serialize_binary,legion,,,,90184541.0,ns,89
serialize_binary,legion,,,,90803792.0,ns,90
serialize_binary,legion,,,,91728583.0,ns,91
serialize_binary,legion,,,,93039958.0,ns,92
serialize_binary,legion,,,,93735125.0,ns,93
serialize_binary,legion,,,,94993583.0,ns,94
serialize_binary,legion,,,,110904791.0,ns,95
serialize_binary,legion,,,,123521833.0,ns,96
serialize_binary,legion,,,,97201584.0,ns,97
serialize_binary,legion,,,,98698917.0,ns,98
serialize_binary,legion,,,,100223750.0,ns,99
serialize_binary,legion,,,,99582125.0,ns,100
