group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,1560041.0,ns,1
serialize_text,hecs,,,,3194042.0,ns,2
serialize_text,hecs,,,,4820292.0,ns,3
serialize_text,hecs,,,,6295500.0,ns,4
serialize_text,hecs,,,,7852792.0,ns,5
serialize_text,hecs,,,,9622750.0,ns,6
serialize_text,hecs,,,,10960875.0,ns,7
serialize_text,hecs,,,,12712041.0,ns,8
serialize_text,hecs,,,,14517459.0,ns,9
serialize_text,hecs,,,,16138833.0,ns,10
serialize_text,hecs,,,,17578958.0,ns,11
serialize_text,hecs,,,,19180750.0,ns,12
serialize_text,hecs,,,,20654208.0,ns,13
serialize_text,hecs,,,,22454041.0,ns,14
serialize_text,hecs,,,,24017500.0,ns,15
serialize_text,hecs,,,,25534625.0,ns,16
serialize_text,hecs,,,,26855458.0,ns,17
serialize_text,hecs,,,,28983292.0,ns,18
serialize_text,hecs,,,,30701000.0,ns,19
serialize_text,hecs,,,,32959125.0,ns,20
serialize_text,hecs,,,,33824375.0,ns,21
serialize_text,hecs,,,,35263083.0,ns,22
serialize_text,hecs,,,,37314625.0,ns,23
serialize_text,hecs,,,,38493583.0,ns,24
serialize_text,hecs,,,,40020625.0,ns,25
serialize_text,hecs,,,,41714417.0,ns,26
serialize_text,hecs,,,,43326500.0,ns,27
serialize_text,hecs,,,,44700833.0,ns,28
serialize_text,hecs,,,,46139042.0,ns,29
serialize_text,hecs,,,,48303041.0,ns,30
serialize_text,hecs,,,,48340458.0,ns,31
serialize_text,hecs,,,,50987750.0,ns,32
serialize_text,hecs,,,,53187875.0,ns,33
serialize_text,hecs,,,,54737292.0,ns,34
serialize_text,hecs,,,,55950541.0,ns,35
serialize_text,hecs,,,,57006042.0,ns,36
serialize_text,hecs,,,,58497458.0,ns,37
serialize_text,hecs,,,,60549333.0,ns,38
serialize_text,hecs,,,,61380125.0,ns,39
serialize_text,hecs,,,,62416042.0,ns,40
serialize_text,hecs,,,,63930333.0,ns,41
serialize_text,hecs,,,,65432583.0,ns,42
serialize_text,hecs,,,,67002542.0,ns,43
serialize_text,hecs,,,,70059292.0,ns,44
serialize_text,hecs,,,,72058792.0,ns,45
serialize_text,hecs,,,,73261333.0,ns,46
serialize_text,hecs,,,,76735500.0,ns,47
serialize_text,hecs,,,,75980209.0,ns,48
serialize_text,hecs,,,,78929000.0,ns,49
serialize_text,hecs,,,,79458458.0,ns,50
serialize_text,hecs,,,,81521500.0,ns,51
serialize_text,hecs,,,,83090000.0,ns,52
serialize_text,hecs,,,,84446917.0,ns,53
serialize_text,hecs,,,,86531917.0,ns,54
serialize_text,hecs,,,,87982000.0,ns,55
serialize_text,hecs,,,,90617833.0,ns,56
serialize_text,hecs,,,,91204333.0,ns,57
serialize_text,hecs,,,,91690000.0,ns,58
serialize_text,hecs,,,,94038250.0,ns,59
serialize_text,hecs,,,,96073500.0,ns,60
serialize_text,hecs,,,,98004459.0,ns,61
serialize_text,hecs,,,,98888167.0,ns,62
serialize_text,hecs,,,,101715000.0,ns,63
serialize_text,hecs,,,,102225792.0,ns,64
serialize_text,hecs,,,,104236792.0,ns,65
serialize_text,hecs,,,,106183375.0,ns,66
serialize_text,hecs,,,,107298000.0,ns,67
serialize_text,hecs,,,,108092000.0,ns,68
serialize_text,hecs,,,,110416542.0,ns,69
serialize_text,hecs,,,,112015750.0,ns,70
serialize_text,hecs,,,,113419084.0,ns,71
serialize_text,hecs,,,,115023833.0,ns,72
serialize_text,hecs,,,,116446500.0,ns,73
serialize_text,hecs,,,,118732958.0,ns,74
serialize_text,hecs,,,,120179750.0,ns,75
serialize_text,hecs,,,,120857625.0,ns,76
serialize_text,hecs,,,,123188708.0,ns,77
serialize_text,hecs,,,,124814917.0,ns,78
serialize_text,hecs,,,,125761333.0,ns,79
serialize_text,hecs,,,,126342125.0,ns,80
serialize_text,hecs,,,,129182958.0,ns,81
serialize_text,hecs,,,,130993542.0,ns,82
serialize_text,hecs,,,,132923666.0,ns,83
serialize_text,hecs,,,,134267333.0,ns,84
serialize_text,hecs,,,,135974542.0,ns,85
serialize_text,hecs,,,,137222459.0,ns,86
serialize_text,hecs,,,,139058375.0,ns,87
serialize_text,hecs,,,,140038292.0,ns,88
serialize_text,hecs,,,,142771375.0,ns,89
serialize_text,hecs,,,,144232916.0,ns,90
serialize_text,hecs,,,,145377625.0,ns,91
serialize_text,hecs,,,,146729625.0,ns,92
serialize_text,hecs,,,,149339834.0,ns,93
serialize_text,hecs,,,,148998208.0,ns,94
serialize_text,hecs,,,,151816292.0,ns,95
serialize_text,hecs,,,,153626375.0,ns,96
serialize_text,hecs,,,,155741542.0,ns,97
serialize_text,hecs,,,,156550333.0,ns,98
serialize_text,hecs,,,,158396959.0,ns,99
serialize_text,hecs,,,,158936083.0,ns,100
