group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,50288541.0,ns,13
serialize_text,legion,,,,50716750.0,ns,13
serialize_text,legion,,,,50348375.0,ns,13
serialize_text,legion,,,,50319542.0,ns,13
serialize_text,legion,,,,50512750.0,ns,13
serialize_text,legion,,,,50198083.0,ns,13
serialize_text,legion,,,,50203667.0,ns,13
serialize_text,legion,,,,50634458.0,ns,13
serialize_text,legion,,,,50336791.0,ns,13
serialize_text,legion,,,,50210500.0,ns,13
serialize_text,legion,,,,49635292.0,ns,13
serialize_text,legion,,,,49770375.0,ns,13
serialize_text,legion,,,,49814209.0,ns,13
serialize_text,legion,,,,49824792.0,ns,13
serialize_text,legion,,,,49605542.0,ns,13
serialize_text,legion,,,,49711500.0,ns,13
serialize_text,legion,,,,50810916.0,ns,13
serialize_text,legion,,,,50211792.0,ns,13
serialize_text,legion,,,,49873625.0,ns,13
serialize_text,legion,,,,51813125.0,ns,13
serialize_text,legion,,,,50929458.0,ns,13
serialize_text,legion,,,,50259709.0,ns,13
serialize_text,legion,,,,50410875.0,ns,13
serialize_text,legion,,,,50417958.0,ns,13
serialize_text,legion,,,,50129042.0,ns,13
serialize_text,legion,,,,50388083.0,ns,13
serialize_text,legion,,,,50460417.0,ns,13
serialize_text,legion,,,,50370208.0,ns,13
serialize_text,legion,,,,50615458.0,ns,13
serialize_text,legion,,,,50721958.0,ns,13
serialize_text,legion,,,,50702292.0,ns,13
serialize_text,legion,,,,50375042.0,ns,13
serialize_text,legion,,,,49841166.0,ns,13
serialize_text,legion,,,,50290500.0,ns,13
serialize_text,legion,,,,50242959.0,ns,13
serialize_text,legion,,,,50192500.0,ns,13
serialize_text,legion,,,,51107584.0,ns,13
serialize_text,legion,,,,50395000.0,ns,13
serialize_text,legion,,,,50133875.0,ns,13
serialize_text,legion,,,,50800084.0,ns,13
serialize_text,legion,,,,50416541.0,ns,13
serialize_text,legion,,,,50435709.0,ns,13
serialize_text,legion,,,,50088459.0,ns,13
serialize_text,legion,,,,50253792.0,ns,13
serialize_text,legion,,,,50006583.0,ns,13
serialize_text,legion,,,,49981667.0,ns,13
serialize_text,legion,,,,50005084.0,ns,13
serialize_text,legion,,,,49942042.0,ns,13
serialize_text,legion,,,,50122667.0,ns,13
serialize_text,legion,,,,50889375.0,ns,13
serialize_text,legion,,,,50730583.0,ns,13
serialize_text,legion,,,,50494542.0,ns,13
serialize_text,legion,,,,50328959.0,ns,13
serialize_text,legion,,,,50288917.0,ns,13
serialize_text,legion,,,,50484959.0,ns,13
serialize_text,legion,,,,50141917.0,ns,13
serialize_text,legion,,,,50624375.0,ns,13
serialize_text,legion,,,,50310000.0,ns,13
serialize_text,legion,,,,50239208.0,ns,13
serialize_text,legion,,,,52151417.0,ns,13
serialize_text,legion,,,,51102709.0,ns,13
serialize_text,legion,,,,50427958.0,ns,13
serialize_text,legion,,,,50459000.0,ns,13
serialize_text,legion,,,,50305375.0,ns,13
serialize_text,legion,,,,49990709.0,ns,13
serialize_text,legion,,,,49262917.0,ns,13
serialize_text,legion,,,,52227166.0,ns,13
serialize_text,legion,,,,51901500.0,ns,13
serialize_text,legion,,,,51105750.0,ns,13
serialize_text,legion,,,,50293250.0,ns,13
serialize_text,legion,,,,50055250.0,ns,13
serialize_text,legion,,,,49450833.0,ns,13
serialize_text,legion,,,,50029667.0,ns,13
serialize_text,legion,,,,50007250.0,ns,13
serialize_text,legion,,,,50102500.0,ns,13
serialize_text,legion,,,,50686417.0,ns,13
serialize_text,legion,,,,50383958.0,ns,13
serialize_text,legion,,,,50125750.0,ns,13
serialize_text,legion,,,,50260584.0,ns,13
serialize_text,legion,,,,50882250.0,ns,13
serialize_text,legion,,,,50691375.0,ns,13
serialize_text,legion,,,,50309458.0,ns,13
serialize_text,legion,,,,50384042.0,ns,13
serialize_text,legion,,,,50000584.0,ns,13
serialize_text,legion,,,,50351625.0,ns,13
serialize_text,legion,,,,50329750.0,ns,13
serialize_text,legion,,,,50116916.0,ns,13
serialize_text,legion,,,,50540167.0,ns,13
serialize_text,legion,,,,50215417.0,ns,13
serialize_text,legion,,,,49975834.0,ns,13
serialize_text,legion,,,,49819875.0,ns,13
serialize_text,legion,,,,49863542.0,ns,13
serialize_text,legion,,,,49817000.0,ns,13
serialize_text,legion,,,,49623125.0,ns,13
serialize_text,legion,,,,50138917.0,ns,13
serialize_text,legion,,,,49714791.0,ns,13
serialize_text,legion,,,,50450209.0,ns,13
serialize_text,legion,,,,49924000.0,ns,13
serialize_text,legion,,,,50159958.0,ns,13
serialize_text,legion,,,,50330875.0,ns,13
