group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1189250.0,ns,3
simple_insert,bevy,,,,2302333.0,ns,6
simple_insert,bevy,,,,3461458.0,ns,9
simple_insert,bevy,,,,4749458.0,ns,12
simple_insert,bevy,,,,5929000.0,ns,15
simple_insert,bevy,,,,7075708.0,ns,18
simple_insert,bevy,,,,8193042.0,ns,21
simple_insert,bevy,,,,9522333.0,ns,24
simple_insert,bevy,,,,10773375.0,ns,27
simple_insert,bevy,,,,12025125.0,ns,30
simple_insert,bevy,,,,13058542.0,ns,33
simple_insert,bevy,,,,14407667.0,ns,36
simple_insert,bevy,,,,15538000.0,ns,39
simple_insert,bevy,,,,16870792.0,ns,42
simple_insert,bevy,,,,17864250.0,ns,45
simple_insert,bevy,,,,19018958.0,ns,48
simple_insert,bevy,,,,20349584.0,ns,51
simple_insert,bevy,,,,21452792.0,ns,54
simple_insert,bevy,,,,23631125.0,ns,57
simple_insert,bevy,,,,23832750.0,ns,60
simple_insert,bevy,,,,24933250.0,ns,63
simple_insert,bevy,,,,25912041.0,ns,66
simple_insert,bevy,,,,27206791.0,ns,69
simple_insert,bevy,,,,28478792.0,ns,72
simple_insert,bevy,,,,29600333.0,ns,75
simple_insert,bevy,,,,30680875.0,ns,78
simple_insert,bevy,,,,32057417.0,ns,81
simple_insert,bevy,,,,32975417.0,ns,84
simple_insert,bevy,,,,34243042.0,ns,87
simple_insert,bevy,,,,35278792.0,ns,90
simple_insert,bevy,,,,36540584.0,ns,93
simple_insert,bevy,,,,37481417.0,ns,96
simple_insert,bevy,,,,39403708.0,ns,99
simple_insert,bevy,,,,40065458.0,ns,102
simple_insert,bevy,,,,41133750.0,ns,105
simple_insert,bevy,,,,43167708.0,ns,108
simple_insert,bevy,,,,43771750.0,ns,111
simple_insert,bevy,,,,44919083.0,ns,114
simple_insert,bevy,,,,46063667.0,ns,117
simple_insert,bevy,,,,47189291.0,ns,120
simple_insert,bevy,,,,48419375.0,ns,123
simple_insert,bevy,,,,49725333.0,ns,126
simple_insert,bevy,,,,51610500.0,ns,129
simple_insert,bevy,,,,52075667.0,ns,132
simple_insert,bevy,,,,53584042.0,ns,135
simple_insert,bevy,,,,54318542.0,ns,138
simple_insert,bevy,,,,55356500.0,ns,141
simple_insert,bevy,,,,56272709.0,ns,144
simple_insert,bevy,,,,57273959.0,ns,147
simple_insert,bevy,,,,58766750.0,ns,150
simple_insert,bevy,,,,60257833.0,ns,153
simple_insert,bevy,,,,62266083.0,ns,156
simple_insert,bevy,,,,63098417.0,ns,159
simple_insert,bevy,,,,63791584.0,ns,162
simple_insert,bevy,,,,65341167.0,ns,165
simple_insert,bevy,,,,66431167.0,ns,168
simple_insert,bevy,,,,67170750.0,ns,171
simple_insert,bevy,,,,68168791.0,ns,174
simple_insert,bevy,,,,69340500.0,ns,177
simple_insert,bevy,,,,70513459.0,ns,180
simple_insert,bevy,,,,71590583.0,ns,183
simple_insert,bevy,,,,72754708.0,ns,186
simple_insert,bevy,,,,73783000.0,ns,189
simple_insert,bevy,,,,75123083.0,ns,192
simple_insert,bevy,,,,75772333.0,ns,195
simple_insert,bevy,,,,78066834.0,ns,198
simple_insert,bevy,,,,80086208.0,ns,201
simple_insert,bevy,,,,82897167.0,ns,204
simple_insert,bevy,,,,83194000.0,ns,207
simple_insert,bevy,,,,84650500.0,ns,210
simple_insert,bevy,,,,85582208.0,ns,213
simple_insert,bevy,,,,86635083.0,ns,216
simple_insert,bevy,,,,87572959.0,ns,219
simple_insert,bevy,,,,88476708.0,ns,222
simple_insert,bevy,,,,88643083.0,ns,225
simple_insert,bevy,,,,88844209.0,ns,228
simple_insert,bevy,,,,91161750.0,ns,231
simple_insert,bevy,,,,92906625.0,ns,234
simple_insert,bevy,,,,93106375.0,ns,237
simple_insert,bevy,,,,94553917.0,ns,240
simple_insert,bevy,,,,95049667.0,ns,243
simple_insert,bevy,,,,96190584.0,ns,246
simple_insert,bevy,,,,98887500.0,ns,249
simple_insert,bevy,,,,99616542.0,ns,252
simple_insert,bevy,,,,100581000.0,ns,255
simple_insert,bevy,,,,101714041.0,ns,258
simple_insert,bevy,,,,102805958.0,ns,261
simple_insert,bevy,,,,103648750.0,ns,264
simple_insert,bevy,,,,105666208.0,ns,267
simple_insert,bevy,,,,106053458.0,ns,270
simple_insert,bevy,,,,106944667.0,ns,273
simple_insert,bevy,,,,108043416.0,ns,276
simple_insert,bevy,,,,111079666.0,ns,279
simple_insert,bevy,,,,111135958.0,ns,282
simple_insert,bevy,,,,112292041.0,ns,285
simple_insert,bevy,,,,112384000.0,ns,288
simple_insert,bevy,,,,114601917.0,ns,291
simple_insert,bevy,,,,116076333.0,ns,294
simple_insert,bevy,,,,117596666.0,ns,297
simple_insert,bevy,,,,117541541.0,ns,300
