group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1248792.0,ns,4
simple_insert,hecs,,,,2571167.0,ns,8
simple_insert,hecs,,,,3762042.0,ns,12
simple_insert,hecs,,,,5101584.0,ns,16
simple_insert,hecs,,,,6265125.0,ns,20
simple_insert,hecs,,,,7444584.0,ns,24
simple_insert,hecs,,,,8855667.0,ns,28
simple_insert,hecs,,,,10282125.0,ns,32
simple_insert,hecs,,,,11515958.0,ns,36
simple_insert,hecs,,,,12907375.0,ns,40
simple_insert,hecs,,,,14194083.0,ns,44
simple_insert,hecs,,,,15093708.0,ns,48
simple_insert,hecs,,,,16658958.0,ns,52
simple_insert,hecs,,,,17936042.0,ns,56
simple_insert,hecs,,,,19412583.0,ns,60
simple_insert,hecs,,,,20475833.0,ns,64
simple_insert,hecs,,,,21641750.0,ns,68
simple_insert,hecs,,,,23081292.0,ns,72
simple_insert,hecs,,,,24249625.0,ns,76
simple_insert,hecs,,,,25571417.0,ns,80
simple_insert,hecs,,,,26697500.0,ns,84
simple_insert,hecs,,,,28071916.0,ns,88
simple_insert,hecs,,,,29318791.0,ns,92
simple_insert,hecs,,,,30359333.0,ns,96
simple_insert,hecs,,,,31792000.0,ns,100
simple_insert,hecs,,,,33122625.0,ns,104
simple_insert,hecs,,,,34447667.0,ns,108
simple_insert,hecs,,,,35853708.0,ns,112
simple_insert,hecs,,,,37009667.0,ns,116
simple_insert,hecs,,,,38776625.0,ns,120
simple_insert,hecs,,,,39677584.0,ns,124
simple_insert,hecs,,,,40875917.0,ns,128
simple_insert,hecs,,,,42469250.0,ns,132
simple_insert,hecs,,,,43316958.0,ns,136
simple_insert,hecs,,,,44344584.0,ns,140
simple_insert,hecs,,,,45764958.0,ns,144
simple_insert,hecs,,,,46837958.0,ns,148
simple_insert,hecs,,,,48095625.0,ns,152
simple_insert,hecs,,,,49469500.0,ns,156
simple_insert,hecs,,,,50696334.0,ns,160
simple_insert,hecs,,,,51829250.0,ns,164
simple_insert,hecs,,,,53510125.0,ns,168
simple_insert,hecs,,,,55295083.0,ns,172
simple_insert,hecs,,,,56326667.0,ns,176
simple_insert,hecs,,,,57397833.0,ns,180
simple_insert,hecs,,,,58463625.0,ns,184
simple_insert,hecs,,,,59353333.0,ns,188
simple_insert,hecs,,,,61104375.0,ns,192
simple_insert,hecs,,,,62762125.0,ns,196
simple_insert,hecs,,,,64332083.0,ns,200
simple_insert,hecs,,,,65503833.0,ns,204
simple_insert,hecs,,,,66879458.0,ns,208
simple_insert,hecs,,,,67691625.0,ns,212
simple_insert,hecs,,,,69118042.0,ns,216
simple_insert,hecs,,,,69699333.0,ns,220
simple_insert,hecs,,,,71385167.0,ns,224
simple_insert,hecs,,,,72743500.0,ns,228
simple_insert,hecs,,,,74505541.0,ns,232
simple_insert,hecs,,,,75498333.0,ns,236
simple_insert,hecs,,,,76840708.0,ns,240
simple_insert,hecs,,,,77523000.0,ns,244
simple_insert,hecs,,,,79301584.0,ns,248
simple_insert,hecs,,,,79951917.0,ns,252
simple_insert,hecs,,,,81757958.0,ns,256
simple_insert,hecs,,,,82388125.0,ns,260
simple_insert,hecs,,,,83344000.0,ns,264
simple_insert,hecs,,,,84226708.0,ns,268
simple_insert,hecs,,,,85556000.0,ns,272
simple_insert,hecs,,,,86884083.0,ns,276
simple_insert,hecs,,,,87660958.0,ns,280
simple_insert,hecs,,,,90091500.0,ns,284
simple_insert,hecs,,,,90836917.0,ns,288
simple_insert,hecs,,,,91895250.0,ns,292
simple_insert,hecs,,,,93461375.0,ns,296
simple_insert,hecs,,,,96324042.0,ns,300
simple_insert,hecs,,,,97368000.0,ns,304
simple_insert,hecs,,,,98131333.0,ns,308
simple_insert,hecs,,,,98785750.0,ns,312
simple_insert,hecs,,,,99822958.0,ns,316
simple_insert,hecs,,,,101268916.0,ns,320
simple_insert,hecs,,,,102578667.0,ns,324
simple_insert,hecs,,,,103676542.0,ns,328
simple_insert,hecs,,,,104615000.0,ns,332
simple_insert,hecs,,,,105748208.0,ns,336
simple_insert,hecs,,,,108657792.0,ns,340
simple_insert,hecs,,,,106500875.0,ns,344
simple_insert,hecs,,,,107471375.0,ns,348
simple_insert,hecs,,,,109667667.0,ns,352
simple_insert,hecs,,,,112519000.0,ns,356
simple_insert,hecs,,,,114597958.0,ns,360
simple_insert,hecs,,,,114967167.0,ns,364
simple_insert,hecs,,,,115940459.0,ns,368
simple_insert,hecs,,,,117210750.0,ns,372
simple_insert,hecs,,,,120219250.0,ns,376
simple_insert,hecs,,,,120694167.0,ns,380
simple_insert,hecs,,,,121441417.0,ns,384
simple_insert,hecs,,,,122268542.0,ns,388
simple_insert,hecs,,,,125182500.0,ns,392
simple_insert,hecs,,,,125502000.0,ns,396
simple_insert,hecs,,,,126371500.0,ns,400
