group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1074250.0,ns,5
simple_insert,legion,,,,2103042.0,ns,10
simple_insert,legion,,,,3016334.0,ns,15
simple_insert,legion,,,,4064334.0,ns,20
simple_insert,legion,,,,5026167.0,ns,25
simple_insert,legion,,,,6107083.0,ns,30
simple_insert,legion,,,,7082125.0,ns,35
simple_insert,legion,,,,8227750.0,ns,40
simple_insert,legion,,,,9144417.0,ns,45
simple_insert,legion,,,,10227667.0,ns,50
simple_insert,legion,,,,11422000.0,ns,55
simple_insert,legion,,,,12451375.0,ns,60
simple_insert,legion,,,,14065209.0,ns,65
simple_insert,legion,,,,14447542.0,ns,70
simple_insert,legion,,,,15450875.0,ns,75
simple_insert,legion,,,,16638084.0,ns,80
simple_insert,legion,,,,17931083.0,ns,85
simple_insert,legion,,,,19028541.0,ns,90
simple_insert,legion,,,,19215833.0,ns,95
simple_insert,legion,,,,21253542.0,ns,100
simple_insert,legion,,,,21788959.0,ns,105
simple_insert,legion,,,,22626583.0,ns,110
simple_insert,legion,,,,24052167.0,ns,115
simple_insert,legion,,,,24642833.0,ns,120
simple_insert,legion,,,,25811583.0,ns,125
simple_insert,legion,,,,27384208.0,ns,130
simple_insert,legion,,,,28625375.0,ns,135
simple_insert,legion,,,,29597291.0,ns,140
simple_insert,legion,,,,30091250.0,ns,145
simple_insert,legion,,,,31442292.0,ns,150
simple_insert,legion,,,,32167458.0,ns,155
simple_insert,legion,,,,33543292.0,ns,160
simple_insert,legion,,,,34112500.0,ns,165
simple_insert,legion,,,,35649209.0,ns,170
simple_insert,legion,,,,36124583.0,ns,175
simple_insert,legion,,,,38023833.0,ns,180
simple_insert,legion,,,,38881542.0,ns,185
simple_insert,legion,,,,40367833.0,ns,190
simple_insert,legion,,,,41331708.0,ns,195
simple_insert,legion,,,,43483250.0,ns,200
simple_insert,legion,,,,43933542.0,ns,205
simple_insert,legion,,,,45679750.0,ns,210
simple_insert,legion,,,,43795792.0,ns,215
simple_insert,legion,,,,44340542.0,ns,220
simple_insert,legion,,,,44810042.0,ns,225
simple_insert,legion,,,,46461500.0,ns,230
simple_insert,legion,,,,46449583.0,ns,235
simple_insert,legion,,,,47986500.0,ns,240
simple_insert,legion,,,,48815625.0,ns,245
simple_insert,legion,,,,49565250.0,ns,250
simple_insert,legion,,,,50979208.0,ns,255
simple_insert,legion,,,,51957917.0,ns,260
simple_insert,legion,,,,52812375.0,ns,265
simple_insert,legion,,,,53223416.0,ns,270
simple_insert,legion,,,,54203708.0,ns,275
simple_insert,legion,,,,55172458.0,ns,280
simple_insert,legion,,,,56213750.0,ns,285
simple_insert,legion,,,,56767208.0,ns,290
simple_insert,legion,,,,58478542.0,ns,295
simple_insert,legion,,,,60012250.0,ns,300
simple_insert,legion,,,,60595417.0,ns,305
simple_insert,legion,,,,61771709.0,ns,310
simple_insert,legion,,,,62490875.0,ns,315
simple_insert,legion,,,,63410334.0,ns,320
simple_insert,legion,,,,64304250.0,ns,325
simple_insert,legion,,,,65546292.0,ns,330
simple_insert,legion,,,,66408084.0,ns,335
simple_insert,legion,,,,68174250.0,ns,340
simple_insert,legion,,,,69194542.0,ns,345
simple_insert,legion,,,,71135084.0,ns,350
simple_insert,legion,,,,73070666.0,ns,355
simple_insert,legion,,,,74499625.0,ns,360
simple_insert,legion,,,,75487125.0,ns,365
simple_insert,legion,,,,76789416.0,ns,370
simple_insert,legion,,,,78285250.0,ns,375
simple_insert,legion,,,,74499917.0,ns,380
simple_insert,legion,,,,79829959.0,ns,385
simple_insert,legion,,,,79700417.0,ns,390
simple_insert,legion,,,,80765250.0,ns,395
simple_insert,legion,,,,82532583.0,ns,400
simple_insert,legion,,,,84505250.0,ns,405
simple_insert,legion,,,,84723459.0,ns,410
simple_insert,legion,,,,85702375.0,ns,415
simple_insert,legion,,,,85839875.0,ns,420
simple_insert,legion,,,,86720333.0,ns,425
simple_insert,legion,,,,88245750.0,ns,430
simple_insert,legion,,,,90145709.0,ns,435
simple_insert,legion,,,,91874625.0,ns,440
simple_insert,legion,,,,91658708.0,ns,445
simple_insert,legion,,,,92469083.0,ns,450
simple_insert,legion,,,,94670042.0,ns,455
simple_insert,legion,,,,95885000.0,ns,460
simple_insert,legion,,,,96467667.0,ns,465
simple_insert,legion,,,,96064375.0,ns,470
simple_insert,legion,,,,97124500.0,ns,475
simple_insert,legion,,,,97702666.0,ns,480
simple_insert,legion,,,,101004250.0,ns,485
simple_insert,legion,,,,101446958.0,ns,490
simple_insert,legion,,,,102288875.0,ns,495
simple_insert,legion,,,,102436500.0,ns,500
