group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,858375.0,ns,4
simple_insert,planck_ecs,,,,1716250.0,ns,8
simple_insert,planck_ecs,,,,2593125.0,ns,12
simple_insert,planck_ecs,,,,3473583.0,ns,16
simple_insert,planck_ecs,,,,4473250.0,ns,20
simple_insert,planck_ecs,,,,5318375.0,ns,24
simple_insert,planck_ecs,,,,6163667.0,ns,28
simple_insert,planck_ecs,,,,7108750.0,ns,32
simple_insert,planck_ecs,,,,7759375.0,ns,36
simple_insert,planck_ecs,,,,8773500.0,ns,40
simple_insert,planck_ecs,,,,9703459.0,ns,44
simple_insert,planck_ecs,,,,10769500.0,ns,48
simple_insert,planck_ecs,,,,11540000.0,ns,52
simple_insert,planck_ecs,,,,12504541.0,ns,56
simple_insert,planck_ecs,,,,12922625.0,ns,60
simple_insert,planck_ecs,,,,13714542.0,ns,64
simple_insert,planck_ecs,,,,14912458.0,ns,68
simple_insert,planck_ecs,,,,15929666.0,ns,72
simple_insert,planck_ecs,,,,16622833.0,ns,76
simple_insert,planck_ecs,,,,17503625.0,ns,80
simple_insert,planck_ecs,,,,18361584.0,ns,84
simple_insert,planck_ecs,,,,19187417.0,ns,88
simple_insert,planck_ecs,,,,20111208.0,ns,92
simple_insert,planck_ecs,,,,21030583.0,ns,96
simple_insert,planck_ecs,,,,21948042.0,ns,100
simple_insert,planck_ecs,,,,22797291.0,ns,104
simple_insert,planck_ecs,,,,23488458.0,ns,108
simple_insert,planck_ecs,,,,24498708.0,ns,112
simple_insert,planck_ecs,,,,25770375.0,ns,116
simple_insert,planck_ecs,,,,26693541.0,ns,120
simple_insert,planck_ecs,,,,27805083.0,ns,124
simple_insert,planck_ecs,,,,28313917.0,ns,128
simple_insert,planck_ecs,,,,29048542.0,ns,132
simple_insert,planck_ecs,,,,31168041.0,ns,136
simple_insert,planck_ecs,,,,39276708.0,ns,140
simple_insert,planck_ecs,,,,40356667.0,ns,144
simple_insert,planck_ecs,,,,41540084.0,ns,148
simple_insert,planck_ecs,,,,42451042.0,ns,152
simple_insert,planck_ecs,,,,43856208.0,ns,156
simple_insert,planck_ecs,,,,45090125.0,ns,160
simple_insert,planck_ecs,,,,46741584.0,ns,164
simple_insert,planck_ecs,,,,47306750.0,ns,168
simple_insert,planck_ecs,,,,48976083.0,ns,172
simple_insert,planck_ecs,,,,50919750.0,ns,176
simple_insert,planck_ecs,,,,52380833.0,ns,180
simple_insert,planck_ecs,,,,52668458.0,ns,184
simple_insert,planck_ecs,,,,53913666.0,ns,188
simple_insert,planck_ecs,,,,55002542.0,ns,192
simple_insert,planck_ecs,,,,56527917.0,ns,196
simple_insert,planck_ecs,,,,57496417.0,ns,200
simple_insert,planck_ecs,,,,58442000.0,ns,204
simple_insert,planck_ecs,,,,61033667.0,ns,208
simple_insert,planck_ecs,,,,61201709.0,ns,212
simple_insert,planck_ecs,,,,62135209.0,ns,216
simple_insert,planck_ecs,,,,62821875.0,ns,220
simple_insert,planck_ecs,,,,64358917.0,ns,224
simple_insert,planck_ecs,,,,65270083.0,ns,228
simple_insert,planck_ecs,,,,59170667.0,ns,232
simple_insert,planck_ecs,,,,53384166.0,ns,236
simple_insert,planck_ecs,,,,53408792.0,ns,240
simple_insert,planck_ecs,,,,53619542.0,ns,244
simple_insert,planck_ecs,,,,55010500.0,ns,248
simple_insert,planck_ecs,,,,55603250.0,ns,252
simple_insert,planck_ecs,,,,56525416.0,ns,256
simple_insert,planck_ecs,,,,57378375.0,ns,260
simple_insert,planck_ecs,,,,58144292.0,ns,264
simple_insert,planck_ecs,,,,59027416.0,ns,268
simple_insert,planck_ecs,,,,59628625.0,ns,272
simple_insert,planck_ecs,,,,61860334.0,ns,276
simple_insert,planck_ecs,,,,62422833.0,ns,280
simple_insert,planck_ecs,,,,63513625.0,ns,284
simple_insert,planck_ecs,,,,63825542.0,ns,288
simple_insert,planck_ecs,,,,64518167.0,ns,292
simple_insert,planck_ecs,,,,65114208.0,ns,296
simple_insert,planck_ecs,,,,66423125.0,ns,300
simple_insert,planck_ecs,,,,67937125.0,ns,304
simple_insert,planck_ecs,,,,68608875.0,ns,308
simple_insert,planck_ecs,,,,88161958.0,ns,312
simple_insert,planck_ecs,,,,88985000.0,ns,316
simple_insert,planck_ecs,,,,90968167.0,ns,320
simple_insert,planck_ecs,,,,86023000.0,ns,324
simple_insert,planck_ecs,,,,73433834.0,ns,328
simple_insert,planck_ecs,,,,73994584.0,ns,332
simple_insert,planck_ecs,,,,73928709.0,ns,336
simple_insert,planck_ecs,,,,74751667.0,ns,340
simple_insert,planck_ecs,,,,75453459.0,ns,344
simple_insert,planck_ecs,,,,76309167.0,ns,348
simple_insert,planck_ecs,,,,76915292.0,ns,352
simple_insert,planck_ecs,,,,77929000.0,ns,356
simple_insert,planck_ecs,,,,78628083.0,ns,360
simple_insert,planck_ecs,,,,79900791.0,ns,364
simple_insert,planck_ecs,,,,80479750.0,ns,368
simple_insert,planck_ecs,,,,81451917.0,ns,372
simple_insert,planck_ecs,,,,82788917.0,ns,376
simple_insert,planck_ecs,,,,83338167.0,ns,380
simple_insert,planck_ecs,,,,85177166.0,ns,384
simple_insert,planck_ecs,,,,85363417.0,ns,388
simple_insert,planck_ecs,,,,86350500.0,ns,392
simple_insert,planck_ecs,,,,87222750.0,ns,396
simple_insert,planck_ecs,,,,88285125.0,ns,400
