group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,1122167.0,ns,4
simple_insert,shipyard,,,,2297416.0,ns,8
simple_insert,shipyard,,,,3353417.0,ns,12
simple_insert,shipyard,,,,4415792.0,ns,16
simple_insert,shipyard,,,,5589958.0,ns,20
simple_insert,shipyard,,,,6834375.0,ns,24
simple_insert,shipyard,,,,7791875.0,ns,28
simple_insert,shipyard,,,,8877500.0,ns,32
simple_insert,shipyard,,,,10057541.0,ns,36
simple_insert,shipyard,,,,11818958.0,ns,40
simple_insert,shipyard,,,,12331042.0,ns,44
simple_insert,shipyard,,,,13836500.0,ns,48
simple_insert,shipyard,,,,14796167.0,ns,52
simple_insert,shipyard,,,,16095667.0,ns,56
simple_insert,shipyard,,,,17152750.0,ns,60
simple_insert,shipyard,,,,18434458.0,ns,64
simple_insert,shipyard,,,,19437958.0,ns,68
simple_insert,shipyard,,,,20673125.0,ns,72
simple_insert,shipyard,,,,21455875.0,ns,76
simple_insert,shipyard,,,,22948750.0,ns,80
simple_insert,shipyard,,,,24238875.0,ns,84
simple_insert,shipyard,,,,24964334.0,ns,88
simple_insert,shipyard,,,,26427208.0,ns,92
simple_insert,shipyard,,,,27090375.0,ns,96
simple_insert,shipyard,,,,28043917.0,ns,100
simple_insert,shipyard,,,,30016708.0,ns,104
simple_insert,shipyard,,,,30761208.0,ns,108
simple_insert,shipyard,,,,31920250.0,ns,112
simple_insert,shipyard,,,,32500792.0,ns,116
simple_insert,shipyard,,,,34092000.0,ns,120
simple_insert,shipyard,,,,35221916.0,ns,124
simple_insert,shipyard,,,,36294583.0,ns,128
simple_insert,shipyard,,,,37986084.0,ns,132
simple_insert,shipyard,,,,38422917.0,ns,136
simple_insert,shipyard,,,,40024583.0,ns,140
simple_insert,shipyard,,,,41288042.0,ns,144
simple_insert,shipyard,,,,41951167.0,ns,148
simple_insert,shipyard,,,,43611625.0,ns,152
simple_insert,shipyard,,,,44497750.0,ns,156
simple_insert,shipyard,,,,45278833.0,ns,160
simple_insert,shipyard,,,,46248125.0,ns,164
simple_insert,shipyard,,,,48161292.0,ns,168
simple_insert,shipyard,,,,49966625.0,ns,172
simple_insert,shipyard,,,,49750334.0,ns,176
simple_insert,shipyard,,,,51344583.0,ns,180
simple_insert,shipyard,,,,51669583.0,ns,184
simple_insert,shipyard,,,,53417917.0,ns,188
simple_insert,shipyard,,,,54225709.0,ns,192
simple_insert,shipyard,,,,55369167.0,ns,196
simple_insert,shipyard,,,,57147208.0,ns,200
simple_insert,shipyard,,,,57511875.0,ns,204
simple_insert,shipyard,,,,61602708.0,ns,208
simple_insert,shipyard,,,,62140166.0,ns,212
simple_insert,shipyard,,,,62084250.0,ns,216
simple_insert,shipyard,,,,62793875.0,ns,220
simple_insert,shipyard,,,,64167500.0,ns,224
simple_insert,shipyard,,,,65644375.0,ns,228
simple_insert,shipyard,,,,66044125.0,ns,232
simple_insert,shipyard,,,,67424583.0,ns,236
simple_insert,shipyard,,,,68362916.0,ns,240
simple_insert,shipyard,,,,69359625.0,ns,244
simple_insert,shipyard,,,,70913375.0,ns,248
simple_insert,shipyard,,,,71340625.0,ns,252
simple_insert,shipyard,,,,72736208.0,ns,256
simple_insert,shipyard,,,,74239041.0,ns,260
simple_insert,shipyard,,,,76029958.0,ns,264
simple_insert,shipyard,,,,78029125.0,ns,268
simple_insert,shipyard,,,,78436042.0,ns,272
simple_insert,shipyard,,,,79124375.0,ns,276
simple_insert,shipyard,,,,78884041.0,ns,280
simple_insert,shipyard,,,,81393750.0,ns,284
simple_insert,shipyard,,,,82707000.0,ns,288
simple_insert,shipyard,,,,83436500.0,ns,292
simple_insert,shipyard,,,,84561167.0,ns,296
simple_insert,shipyard,,,,85792792.0,ns,300
simple_insert,shipyard,,,,86377167.0,ns,304
simple_insert,shipyard,,,,87606834.0,ns,308
simple_insert,shipyard,,,,89791083.0,ns,312
simple_insert,shipyard,,,,91319750.0,ns,316
simple_insert,shipyard,,,,91958459.0,ns,320
simple_insert,shipyard,,,,92286791.0,ns,324
simple_insert,shipyard,,,,93199208.0,ns,328
simple_insert,shipyard,,,,94406166.0,ns,332
simple_insert,shipyard,,,,95471625.0,ns,336
simple_insert,shipyard,,,,96863167.0,ns,340
simple_insert,shipyard,,,,98575459.0,ns,344
simple_insert,shipyard,,,,98127750.0,ns,348
simple_insert,shipyard,,,,100003042.0,ns,352
simple_insert,shipyard,,,,102836750.0,ns,356
simple_insert,shipyard,,,,103536625.0,ns,360
simple_insert,shipyard,,,,103418625.0,ns,364
simple_insert,shipyard,,,,104487417.0,ns,368
simple_insert,shipyard,,,,105926917.0,ns,372
simple_insert,shipyard,,,,108119209.0,ns,376
simple_insert,shipyard,,,,110726084.0,ns,380
simple_insert,shipyard,,,,110155792.0,ns,384
simple_insert,shipyard,,,,111273500.0,ns,388
simple_insert,shipyard,,,,111731167.0,ns,392
simple_insert,shipyard,,,,114423625.0,ns,396
simple_insert,shipyard,,,,114657958.0,ns,400
