group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1605042.0,ns,2
simple_insert,specs,,,,3385416.0,ns,4
simple_insert,specs,,,,4891958.0,ns,6
simple_insert,specs,,,,6727833.0,ns,8
simple_insert,specs,,,,8374792.0,ns,10
simple_insert,specs,,,,10173542.0,ns,12
simple_insert,specs,,,,11909292.0,ns,14
simple_insert,specs,,,,13491125.0,ns,16
simple_insert,specs,,,,14794666.0,ns,18
simple_insert,specs,,,,16279583.0,ns,20
simple_insert,specs,,,,18335166.0,ns,22
simple_insert,specs,,,,20035833.0,ns,24
simple_insert,specs,,,,21938791.0,ns,26
simple_insert,specs,,,,23248041.0,ns,28
simple_insert,specs,,,,24821375.0,ns,30
simple_insert,specs,,,,25981958.0,ns,32
simple_insert,specs,,,,27856459.0,ns,34
simple_insert,specs,,,,29079958.0,ns,36
simple_insert,specs,,,,31222416.0,ns,38
simple_insert,specs,,,,32935291.0,ns,40
simple_insert,specs,,,,34594417.0,ns,42
simple_insert,specs,,,,36425042.0,ns,44
simple_insert,specs,,,,37472625.0,ns,46
simple_insert,specs,,,,39168959.0,ns,48
simple_insert,specs,,,,40574084.0,ns,50
simple_insert,specs,,,,42587750.0,ns,52
simple_insert,specs,,,,43802375.0,ns,54
simple_insert,specs,,,,45737833.0,ns,56
simple_insert,specs,,,,47355291.0,ns,58
simple_insert,specs,,,,48922083.0,ns,60
simple_insert,specs,,,,50579750.0,ns,62
simple_insert,specs,,,,52388333.0,ns,64
simple_insert,specs,,,,53826875.0,ns,66
simple_insert,specs,,,,55415042.0,ns,68
simple_insert,specs,,,,57248541.0,ns,70
simple_insert,specs,,,,59102083.0,ns,72
simple_insert,specs,,,,61074250.0,ns,74
simple_insert,specs,,,,62951708.0,ns,76
simple_insert,specs,,,,63921209.0,ns,78
simple_insert,specs,,,,65788125.0,ns,80
simple_insert,specs,,,,66807708.0,ns,82
simple_insert,specs,,,,68474500.0,ns,84
simple_insert,specs,,,,70276291.0,ns,86
simple_insert,specs,,,,71410625.0,ns,88
simple_insert,specs,,,,72843959.0,ns,90
simple_insert,specs,,,,74319417.0,ns,92
simple_insert,specs,,,,77157667.0,ns,94
simple_insert,specs,,,,78087458.0,ns,96
simple_insert,specs,,,,80024417.0,ns,98
simple_insert,specs,,,,82464792.0,ns,100
simple_insert,specs,,,,84346500.0,ns,102
simple_insert,specs,,,,85355625.0,ns,104
simple_insert,specs,,,,86516542.0,ns,106
simple_insert,specs,,,,87731542.0,ns,108
simple_insert,specs,,,,89811375.0,ns,110
simple_insert,specs,,,,91006000.0,ns,112
simple_insert,specs,,,,92381333.0,ns,114
simple_insert,specs,,,,94344375.0,ns,116
simple_insert,specs,,,,96305500.0,ns,118
simple_insert,specs,,,,97878834.0,ns,120
simple_insert,specs,,,,100039708.0,ns,122
simple_insert,specs,,,,102079125.0,ns,124
simple_insert,specs,,,,103293792.0,ns,126
simple_insert,specs,,,,104674291.0,ns,128
simple_insert,specs,,,,105994125.0,ns,130
simple_insert,specs,,,,107473791.0,ns,132
simple_insert,specs,,,,109500750.0,ns,134
simple_insert,specs,,,,110932667.0,ns,136
simple_insert,specs,,,,111731750.0,ns,138
simple_insert,specs,,,,114644750.0,ns,140
simple_insert,specs,,,,116534000.0,ns,142
simple_insert,specs,,,,118378208.0,ns,144
simple_insert,specs,,,,118845542.0,ns,146
simple_insert,specs,,,,120436292.0,ns,148
simple_insert,specs,,,,122323208.0,ns,150
simple_insert,specs,,,,123799958.0,ns,152
simple_insert,specs,,,,125245834.0,ns,154
simple_insert,specs,,,,127113375.0,ns,156
simple_insert,specs,,,,129840459.0,ns,158
simple_insert,specs,,,,130571042.0,ns,160
simple_insert,specs,,,,133634208.0,ns,162
simple_insert,specs,,,,135372833.0,ns,164
simple_insert,specs,,,,136617917.0,ns,166
simple_insert,specs,,,,138110625.0,ns,168
simple_insert,specs,,,,139712458.0,ns,170
simple_insert,specs,,,,146105250.0,ns,172
simple_insert,specs,,,,145029500.0,ns,174
simple_insert,specs,,,,146632459.0,ns,176
simple_insert,specs,,,,144658125.0,ns,178
simple_insert,specs,,,,146157041.0,ns,180
simple_insert,specs,,,,148362916.0,ns,182
simple_insert,specs,,,,149871208.0,ns,184
simple_insert,specs,,,,155026708.0,ns,186
simple_insert,specs,,,,155024708.0,ns,188
simple_insert,specs,,,,156529666.0,ns,190
simple_insert,specs,,,,158767750.0,ns,192
simple_insert,specs,,,,159774625.0,ns,194
simple_insert,specs,,,,161890458.0,ns,196
simple_insert,specs,,,,164678083.0,ns,198
simple_insert,specs,,,,166573500.0,ns,200
