group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,976292.0,ns,70
simple_iter,bevy,,,,1952084.0,ns,140
simple_iter,bevy,,,,2986334.0,ns,210
simple_iter,bevy,,,,4037625.0,ns,280
simple_iter,bevy,,,,5012041.0,ns,350
simple_iter,bevy,,,,5890250.0,ns,420
simple_iter,bevy,,,,6981625.0,ns,490
simple_iter,bevy,,,,8114250.0,ns,560
simple_iter,bevy,,,,9099583.0,ns,630
simple_iter,bevy,,,,10025750.0,ns,700
simple_iter,bevy,,,,11274084.0,ns,770
simple_iter,bevy,,,,12093792.0,ns,840
simple_iter,bevy,,,,13188834.0,ns,910
simple_iter,bevy,,,,14136958.0,ns,980
simple_iter,bevy,,,,15154125.0,ns,1050
simple_iter,bevy,,,,16078625.0,ns,1120
simple_iter,bevy,,,,17062917.0,ns,1190
simple_iter,bevy,,,,18052167.0,ns,1260
simple_iter,bevy,,,,18884584.0,ns,1330
simple_iter,bevy,,,,20097459.0,ns,1400
simple_iter,bevy,,,,20865750.0,ns,1470
simple_iter,bevy,,,,22056417.0,ns,1540
simple_iter,bevy,,,,22932417.0,ns,1610
simple_iter,bevy,,,,23968375.0,ns,1680
simple_iter,bevy,,,,24988459.0,ns,1750
simple_iter,bevy,,,,25864500.0,ns,1820
simple_iter,bevy,,,,26957750.0,ns,1890
simple_iter,bevy,,,,28038333.0,ns,1960
simple_iter,bevy,,,,28813083.0,ns,2030
simple_iter,bevy,,,,29864334.0,ns,2100
simple_iter,bevy,,,,30945250.0,ns,2170
simple_iter,bevy,,,,31892000.0,ns,2240
simple_iter,bevy,,,,32851750.0,ns,2310
simple_iter,bevy,,,,33840750.0,ns,2380
simple_iter,bevy,,,,35616833.0,ns,2450
simple_iter,bevy,,,,36371500.0,ns,2520
simple_iter,bevy,,,,37545583.0,ns,2590
simple_iter,bevy,,,,38228417.0,ns,2660
simple_iter,bevy,,,,39374584.0,ns,2730
simple_iter,bevy,,,,40165417.0,ns,2800
simple_iter,bevy,,,,40944959.0,ns,2870
simple_iter,bevy,,,,41981709.0,ns,2940
simple_iter,bevy,,,,42845375.0,ns,3010
simple_iter,bevy,,,,43932000.0,ns,3080
simple_iter,bevy,,,,45354416.0,ns,3150
simple_iter,bevy,,,,46424500.0,ns,3220
simple_iter,bevy,,,,46990875.0,ns,3290
simple_iter,bevy,,,,47701459.0,ns,3360
simple_iter,bevy,,,,48932083.0,ns,3430
simple_iter,bevy,,,,49638000.0,ns,3500
simple_iter,bevy,,,,50106167.0,ns,3570
simple_iter,bevy,,,,51863958.0,ns,3640
simple_iter,bevy,,,,52266542.0,ns,3710
simple_iter,bevy,,,,53845000.0,ns,3780
simple_iter,bevy,,,,54878834.0,ns,3850
simple_iter,bevy,,,,56244125.0,ns,3920
simple_iter,bevy,,,,57888375.0,ns,3990
simple_iter,bevy,,,,58372000.0,ns,4060
simple_iter,bevy,,,,58984583.0,ns,4130
simple_iter,bevy,,,,60273542.0,ns,4200
simple_iter,bevy,,,,61025916.0,ns,4270
simple_iter,bevy,,,,61891459.0,ns,4340
simple_iter,bevy,,,,63222500.0,ns,4410
simple_iter,bevy,,,,64684166.0,ns,4480
simple_iter,bevy,,,,65287292.0,ns,4550
simple_iter,bevy,,,,65992750.0,ns,4620
simple_iter,bevy,,,,66828958.0,ns,4690
simple_iter,bevy,,,,67872708.0,ns,4760
simple_iter,bevy,,,,68766917.0,ns,4830
simple_iter,bevy,,,,69817292.0,ns,4900
simple_iter,bevy,,,,70401375.0,ns,4970
simple_iter,bevy,,,,72387083.0,ns,5040
simple_iter,bevy,,,,73335291.0,ns,5110
simple_iter,bevy,,,,73967625.0,ns,5180
simple_iter,bevy,,,,74791250.0,ns,5250
simple_iter,bevy,,,,75813500.0,ns,5320
simple_iter,bevy,,,,76733084.0,ns,5390
simple_iter,bevy,,,,78949625.0,ns,5460
simple_iter,bevy,,,,79027209.0,ns,5530
simple_iter,bevy,,,,79962250.0,ns,5600
simple_iter,bevy,,,,80922042.0,ns,5670
simple_iter,bevy,,,,81190209.0,ns,5740
simple_iter,bevy,,,,82412750.0,ns,5810
simple_iter,bevy,,,,84472917.0,ns,5880
simple_iter,bevy,,,,85929625.0,ns,5950
simple_iter,bevy,,,,86455125.0,ns,6020
simple_iter,bevy,,,,87283709.0,ns,6090
simple_iter,bevy,,,,87957375.0,ns,6160
simple_iter,bevy,,,,89176916.0,ns,6230
simple_iter,bevy,,,,90075959.0,ns,6300
simple_iter,bevy,,,,90778917.0,ns,6370
simple_iter,bevy,,,,92065375.0,ns,6440
simple_iter,bevy,,,,92858375.0,ns,6510
simple_iter,bevy,,,,93792167.0,ns,6580
simple_iter,bevy,,,,95588000.0,ns,6650
simple_iter,bevy,,,,97027625.0,ns,6720
simple_iter,bevy,,,,97352916.0,ns,6790
simple_iter,bevy,,,,98017500.0,ns,6860
simple_iter,bevy,,,,99165084.0,ns,6930
simple_iter,bevy,,,,99834000.0,ns,7000
