group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,959667.0,ns,162
simple_iter,hecs,,,,1928041.0,ns,324
simple_iter,hecs,,,,2904250.0,ns,486
simple_iter,hecs,,,,3920000.0,ns,648
simple_iter,hecs,,,,4891584.0,ns,810
simple_iter,hecs,,,,5773459.0,ns,972
simple_iter,hecs,,,,6939583.0,ns,1134
simple_iter,hecs,,,,7966542.0,ns,1296
simple_iter,hecs,,,,8966375.0,ns,1458
simple_iter,hecs,,,,10018750.0,ns,1620
simple_iter,hecs,,,,10930833.0,ns,1782
simple_iter,hecs,,,,12140125.0,ns,1944
simple_iter,hecs,,,,13078375.0,ns,2106
simple_iter,hecs,,,,13968625.0,ns,2268
simple_iter,hecs,,,,14996750.0,ns,2430
simple_iter,hecs,,,,15949292.0,ns,2592
simple_iter,hecs,,,,16909958.0,ns,2754
simple_iter,hecs,,,,17865750.0,ns,2916
simple_iter,hecs,,,,18908958.0,ns,3078
simple_iter,hecs,,,,19877292.0,ns,3240
simple_iter,hecs,,,,20956833.0,ns,3402
simple_iter,hecs,,,,21468000.0,ns,3564
simple_iter,hecs,,,,22712375.0,ns,3726
simple_iter,hecs,,,,23779250.0,ns,3888
simple_iter,hecs,,,,25037792.0,ns,4050
simple_iter,hecs,,,,25739042.0,ns,4212
simple_iter,hecs,,,,26729166.0,ns,4374
simple_iter,hecs,,,,27920084.0,ns,4536
simple_iter,hecs,,,,28270459.0,ns,4698
simple_iter,hecs,,,,29822166.0,ns,4860
simple_iter,hecs,,,,30919916.0,ns,5022
simple_iter,hecs,,,,31596416.0,ns,5184
simple_iter,hecs,,,,32921208.0,ns,5346
simple_iter,hecs,,,,33970458.0,ns,5508
simple_iter,hecs,,,,34997792.0,ns,5670
simple_iter,hecs,,,,35968334.0,ns,5832
simple_iter,hecs,,,,36830000.0,ns,5994
simple_iter,hecs,,,,37601708.0,ns,6156
simple_iter,hecs,,,,38717542.0,ns,6318
simple_iter,hecs,,,,39453916.0,ns,6480
simple_iter,hecs,,,,41114125.0,ns,6642
simple_iter,hecs,,,,42016584.0,ns,6804
simple_iter,hecs,,,,43354708.0,ns,6966
simple_iter,hecs,,,,44005541.0,ns,7128
simple_iter,hecs,,,,45529583.0,ns,7290
simple_iter,hecs,,,,45849666.0,ns,7452
simple_iter,hecs,,,,46821083.0,ns,7614
simple_iter,hecs,,,,47770750.0,ns,7776
simple_iter,hecs,,,,48791083.0,ns,7938
simple_iter,hecs,,,,49735375.0,ns,8100
simple_iter,hecs,,,,50797834.0,ns,8262
simple_iter,hecs,,,,51229375.0,ns,8424
simple_iter,hecs,,,,51694833.0,ns,8586
simple_iter,hecs,,,,52758625.0,ns,8748
simple_iter,hecs,,,,53755500.0,ns,8910
simple_iter,hecs,,,,56409667.0,ns,9072
simple_iter,hecs,,,,57535333.0,ns,9234
simple_iter,hecs,,,,58403500.0,ns,9396
simple_iter,hecs,,,,58975333.0,ns,9558
simple_iter,hecs,,,,59625125.0,ns,9720
simple_iter,hecs,,,,60843583.0,ns,9882
simple_iter,hecs,,,,62392042.0,ns,10044
simple_iter,hecs,,,,62402000.0,ns,10206
simple_iter,hecs,,,,64432833.0,ns,10368
simple_iter,hecs,,,,65133083.0,ns,10530
simple_iter,hecs,,,,66008500.0,ns,10692
simple_iter,hecs,,,,66759875.0,ns,10854
simple_iter,hecs,,,,67869458.0,ns,11016
simple_iter,hecs,,,,68828458.0,ns,11178
simple_iter,hecs,,,,69687334.0,ns,11340
simple_iter,hecs,,,,70589250.0,ns,11502
simple_iter,hecs,,,,71534625.0,ns,11664
simple_iter,hecs,,,,72719250.0,ns,11826
simple_iter,hecs,,,,73346375.0,ns,11988
simple_iter,hecs,,,,74140792.0,ns,12150
simple_iter,hecs,,,,76365708.0,ns,12312
simple_iter,hecs,,,,77011333.0,ns,12474
simple_iter,hecs,,,,78172250.0,ns,12636
simple_iter,hecs,,,,79273917.0,ns,12798
simple_iter,hecs,,,,80098084.0,ns,12960
simple_iter,hecs,,,,80738792.0,ns,13122
simple_iter,hecs,,,,81928083.0,ns,13284
simple_iter,hecs,,,,83885333.0,ns,13446
simple_iter,hecs,,,,84204708.0,ns,13608
simple_iter,hecs,,,,84744459.0,ns,13770
simple_iter,hecs,,,,85844250.0,ns,13932
simple_iter,hecs,,,,86812292.0,ns,14094
simple_iter,hecs,,,,87829458.0,ns,14256
simple_iter,hecs,,,,88949667.0,ns,14418
simple_iter,hecs,,,,90039666.0,ns,14580
simple_iter,hecs,,,,90095083.0,ns,14742
simple_iter,hecs,,,,91564958.0,ns,14904
simple_iter,hecs,,,,92406125.0,ns,15066
simple_iter,hecs,,,,94964042.0,ns,15228
simple_iter,hecs,,,,95246208.0,ns,15390
simple_iter,hecs,,,,95847166.0,ns,15552
simple_iter,hecs,,,,96726667.0,ns,15714
simple_iter,hecs,,,,97103042.0,ns,15876
simple_iter,hecs,,,,98978541.0,ns,16038
simple_iter,hecs,,,,101372958.0,ns,16200
