group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion (packed),,,,984084.0,ns,293
simple_iter,legion (packed),,,,1978625.0,ns,586
simple_iter,legion (packed),,,,3019959.0,ns,879
simple_iter,legion (packed),,,,4001250.0,ns,1172
simple_iter,legion (packed),,,,4973875.0,ns,1465
simple_iter,legion (packed),,,,6006333.0,ns,1758
simple_iter,legion (packed),,,,6982875.0,ns,2051
simple_iter,legion (packed),,,,7979625.0,ns,2344
simple_iter,legion (packed),,,,8999375.0,ns,2637
simple_iter,legion (packed),,,,10031916.0,ns,2930
simple_iter,legion (packed),,,,10954375.0,ns,3223
simple_iter,legion (packed),,,,12083375.0,ns,3516
simple_iter,legion (packed),,,,13112792.0,ns,3809
simple_iter,legion (packed),,,,13919500.0,ns,4102
simple_iter,legion (packed),,,,15105667.0,ns,4395
simple_iter,legion (packed),,,,16002333.0,ns,4688
simple_iter,legion (packed),,,,17045250.0,ns,4981
simple_iter,legion (packed),,,,17958875.0,ns,5274
simple_iter,legion (packed),,,,19001333.0,ns,5567
simple_iter,legion (packed),,,,19907792.0,ns,5860
simple_iter,legion (packed),,,,20999667.0,ns,6153
simple_iter,legion (packed),,,,21895458.0,ns,6446
simple_iter,legion (packed),,,,22884916.0,ns,6739
simple_iter,legion (packed),,,,24094583.0,ns,7032
simple_iter,legion (packed),,,,24884083.0,ns,7325
simple_iter,legion (packed),,,,25919750.0,ns,7618
simple_iter,legion (packed),,,,27012417.0,ns,7911
simple_iter,legion (packed),,,,27920750.0,ns,8204
simple_iter,legion (packed),,,,28846917.0,ns,8497
simple_iter,legion (packed),,,,29876750.0,ns,8790
simple_iter,legion (packed),,,,30899291.0,ns,9083
simple_iter,legion (packed),,,,31840083.0,ns,9376
simple_iter,legion (packed),,,,32745375.0,ns,9669
simple_iter,legion (packed),,,,33941208.0,ns,9962
simple_iter,legion (packed),,,,34916167.0,ns,10255
simple_iter,legion (packed),,,,36159917.0,ns,10548
simple_iter,legion (packed),,,,36931000.0,ns,10841
simple_iter,legion (packed),,,,38022875.0,ns,11134
simple_iter,legion (packed),,,,39105666.0,ns,11427
simple_iter,legion (packed),,,,40030708.0,ns,11720
simple_iter,legion (packed),,,,40953000.0,ns,12013
simple_iter,legion (packed),,,,42245084.0,ns,12306
simple_iter,legion (packed),,,,43140833.0,ns,12599
simple_iter,legion (packed),,,,44063041.0,ns,12892
simple_iter,legion (packed),,,,44917875.0,ns,13185
simple_iter,legion (packed),,,,45916208.0,ns,13478
simple_iter,legion (packed),,,,47013459.0,ns,13771
simple_iter,legion (packed),,,,48253042.0,ns,14064
simple_iter,legion (packed),,,,48977834.0,ns,14357
simple_iter,legion (packed),,,,50044625.0,ns,14650
simple_iter,legion (packed),,,,50962500.0,ns,14943
simple_iter,legion (packed),,,,51970166.0,ns,15236
simple_iter,legion (packed),,,,52939583.0,ns,15529
simple_iter,legion (packed),,,,53867459.0,ns,15822
simple_iter,legion (packed),,,,54733458.0,ns,16115
simple_iter,legion (packed),,,,55810500.0,ns,16408
simple_iter,legion (packed),,,,56847500.0,ns,16701
simple_iter,legion (packed),,,,57804291.0,ns,16994
simple_iter,legion (packed),,,,59129042.0,ns,17287
simple_iter,legion (packed),,,,59929458.0,ns,17580
simple_iter,legion (packed),,,,60690750.0,ns,17873
simple_iter,legion (packed),,,,62067084.0,ns,18166
simple_iter,legion (packed),,,,62878125.0,ns,18459
simple_iter,legion (packed),,,,63864834.0,ns,18752
simple_iter,legion (packed),,,,64910125.0,ns,19045
simple_iter,legion (packed),,,,66266167.0,ns,19338
simple_iter,legion (packed),,,,67072625.0,ns,19631
simple_iter,legion (packed),,,,67928042.0,ns,19924
simple_iter,legion (packed),,,,69075750.0,ns,20217
simple_iter,legion (packed),,,,70080084.0,ns,20510
simple_iter,legion (packed),,,,70728167.0,ns,20803
simple_iter,legion (packed),,,,72148792.0,ns,21096
simple_iter,legion (packed),,,,72884500.0,ns,21389
simple_iter,legion (packed),,,,74003792.0,ns,21682
simple_iter,legion (packed),,,,75163042.0,ns,21975
simple_iter,legion (packed),,,,75957375.0,ns,22268
simple_iter,legion (packed),,,,77227500.0,ns,22561
simple_iter,legion (packed),,,,77990917.0,ns,22854
simple_iter,legion (packed),,,,78937166.0,ns,23147
simple_iter,legion (packed),,,,80415541.0,ns,23440
simple_iter,legion (packed),,,,81018125.0,ns,23733
simple_iter,legion (packed),,,,81959875.0,ns,24026
simple_iter,legion (packed),,,,82931042.0,ns,24319
simple_iter,legion (packed),,,,83987708.0,ns,24612
simple_iter,legion (packed),,,,85064042.0,ns,24905
simple_iter,legion (packed),,,,86175541.0,ns,25198
simple_iter,legion (packed),,,,86971125.0,ns,25491
simple_iter,legion (packed),,,,88097250.0,ns,25784
simple_iter,legion (packed),,,,89037792.0,ns,26077
simple_iter,legion (packed),,,,89775875.0,ns,26370
simple_iter,legion (packed),,,,90918625.0,ns,26663
simple_iter,legion (packed),,,,91458667.0,ns,26956
simple_iter,legion (packed),,,,91533250.0,ns,27249
simple_iter,legion (packed),,,,92718208.0,ns,27542
simple_iter,legion (packed),,,,93355375.0,ns,27835
simple_iter,legion (packed),,,,94713084.0,ns,28128
simple_iter,legion (packed),,,,95948291.0,ns,28421
simple_iter,legion (packed),,,,96867166.0,ns,28714
simple_iter,legion (packed),,,,97814333.0,ns,29007
simple_iter,legion (packed),,,,98603791.0,ns,29300
