group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,977750.0,ns,51
simple_iter,planck_ecs,,,,1956333.0,ns,102
simple_iter,planck_ecs,,,,2977208.0,ns,153
simple_iter,planck_ecs,,,,3994083.0,ns,204
simple_iter,planck_ecs,,,,5032875.0,ns,255
simple_iter,planck_ecs,,,,6120958.0,ns,306
simple_iter,planck_ecs,,,,6941958.0,ns,357
simple_iter,planck_ecs,,,,7886833.0,ns,408
simple_iter,planck_ecs,,,,9560667.0,ns,459
simple_iter,planck_ecs,,,,10229333.0,ns,510
simple_iter,planck_ecs,,,,11218125.0,ns,561
simple_iter,planck_ecs,,,,12249459.0,ns,612
simple_iter,planck_ecs,,,,13161917.0,ns,663
simple_iter,planck_ecs,,,,14169209.0,ns,714
simple_iter,planck_ecs,,,,15150625.0,ns,765
simple_iter,planck_ecs,,,,16000708.0,ns,816
simple_iter,planck_ecs,,,,17164833.0,ns,867
simple_iter,planck_ecs,,,,18145917.0,ns,918
simple_iter,planck_ecs,,,,19031750.0,ns,969
simple_iter,planck_ecs,,,,20007084.0,ns,1020
simple_iter,planck_ecs,,,,21093750.0,ns,1071
simple_iter,planck_ecs,,,,21908541.0,ns,1122
simple_iter,planck_ecs,,,,22576917.0,ns,1173
simple_iter,planck_ecs,,,,23950792.0,ns,1224
simple_iter,planck_ecs,,,,25126416.0,ns,1275
simple_iter,planck_ecs,,,,26056875.0,ns,1326
simple_iter,planck_ecs,,,,26881500.0,ns,1377
simple_iter,planck_ecs,,,,27903625.0,ns,1428
simple_iter,planck_ecs,,,,28696500.0,ns,1479
simple_iter,planck_ecs,,,,30009250.0,ns,1530
simple_iter,planck_ecs,,,,31672292.0,ns,1581
simple_iter,planck_ecs,,,,32354625.0,ns,1632
simple_iter,planck_ecs,,,,33380625.0,ns,1683
simple_iter,planck_ecs,,,,34165708.0,ns,1734
simple_iter,planck_ecs,,,,35230375.0,ns,1785
simple_iter,planck_ecs,,,,36286208.0,ns,1836
simple_iter,planck_ecs,,,,37164250.0,ns,1887
simple_iter,planck_ecs,,,,38450166.0,ns,1938
simple_iter,planck_ecs,,,,39077958.0,ns,1989
simple_iter,planck_ecs,,,,40077541.0,ns,2040
simple_iter,planck_ecs,,,,40969500.0,ns,2091
simple_iter,planck_ecs,,,,42668167.0,ns,2142
simple_iter,planck_ecs,,,,43421334.0,ns,2193
simple_iter,planck_ecs,,,,44334208.0,ns,2244
simple_iter,planck_ecs,,,,45014958.0,ns,2295
simple_iter,planck_ecs,,,,46250417.0,ns,2346
simple_iter,planck_ecs,,,,46910084.0,ns,2397
simple_iter,planck_ecs,,,,47965125.0,ns,2448
simple_iter,planck_ecs,,,,48970166.0,ns,2499
simple_iter,planck_ecs,,,,49930208.0,ns,2550
simple_iter,planck_ecs,,,,50705625.0,ns,2601
simple_iter,planck_ecs,,,,50884959.0,ns,2652
simple_iter,planck_ecs,,,,52604042.0,ns,2703
simple_iter,planck_ecs,,,,53608167.0,ns,2754
simple_iter,planck_ecs,,,,55821875.0,ns,2805
simple_iter,planck_ecs,,,,56342208.0,ns,2856
simple_iter,planck_ecs,,,,57283625.0,ns,2907
simple_iter,planck_ecs,,,,58457083.0,ns,2958
simple_iter,planck_ecs,,,,59332458.0,ns,3009
simple_iter,planck_ecs,,,,60204791.0,ns,3060
simple_iter,planck_ecs,,,,61250375.0,ns,3111
simple_iter,planck_ecs,,,,62080375.0,ns,3162
simple_iter,planck_ecs,,,,63111458.0,ns,3213
simple_iter,planck_ecs,,,,64157959.0,ns,3264
simple_iter,planck_ecs,,,,64892333.0,ns,3315
simple_iter,planck_ecs,,,,66074958.0,ns,3366
simple_iter,planck_ecs,,,,66333667.0,ns,3417
simple_iter,planck_ecs,,,,68177250.0,ns,3468
simple_iter,planck_ecs,,,,69770958.0,ns,3519
simple_iter,planck_ecs,,,,69324875.0,ns,3570
simple_iter,planck_ecs,,,,71777083.0,ns,3621
simple_iter,planck_ecs,,,,72707541.0,ns,3672
simple_iter,planck_ecs,,,,72975542.0,ns,3723
simple_iter,planck_ecs,,,,73756958.0,ns,3774
simple_iter,planck_ecs,,,,75120709.0,ns,3825
simple_iter,planck_ecs,,,,76026458.0,ns,3876
simple_iter,planck_ecs,,,,76819709.0,ns,3927
simple_iter,planck_ecs,,,,78094417.0,ns,3978
simple_iter,planck_ecs,,,,78819166.0,ns,4029
simple_iter,planck_ecs,,,,80017042.0,ns,4080
simple_iter,planck_ecs,,,,81005709.0,ns,4131
simple_iter,planck_ecs,,,,82507834.0,ns,4182
simple_iter,planck_ecs,,,,83809459.0,ns,4233
simple_iter,planck_ecs,,,,84868000.0,ns,4284
simple_iter,planck_ecs,,,,85182833.0,ns,4335
simple_iter,planck_ecs,,,,86209583.0,ns,4386
simple_iter,planck_ecs,,,,86875375.0,ns,4437
simple_iter,planck_ecs,,,,86726500.0,ns,4488
simple_iter,planck_ecs,,,,88165875.0,ns,4539
simple_iter,planck_ecs,,,,91069584.0,ns,4590
simple_iter,planck_ecs,,,,91767500.0,ns,4641
simple_iter,planck_ecs,,,,91683333.0,ns,4692
simple_iter,planck_ecs,,,,92528458.0,ns,4743
simple_iter,planck_ecs,,,,94379000.0,ns,4794
simple_iter,planck_ecs,,,,95460416.0,ns,4845
simple_iter,planck_ecs,,,,95416792.0,ns,4896
simple_iter,planck_ecs,,,,97460166.0,ns,4947
simple_iter,planck_ecs,,,,98170708.0,ns,4998
simple_iter,planck_ecs,,,,100507875.0,ns,5049
simple_iter,planck_ecs,,,,100445333.0,ns,5100
